♦K,♥8,♥5,♣7,♠7 | Pair
♦K,♥8,♥5,♣7,♦5 | Pair
♦K,♥8,♥5,♥4,♦4 | Pair
♦K,♥8,♥5,♥4,♦5 | Pair
♦K,♥8,♥5,♦4,♦5 | Pair
♦K,♥8,♥5,♥10,♦5 | Pair
♦K,♥8,♥5,♦6,♦5 | Pair
♦K,♥8,♥5,♦9,♦5 | Pair
♦K,♥8,♥5,♠2,♥2 | Pair
♦K,♥8,♥5,♠2,♦5 | Pair
♦K,♥8,♥5,♥2,♦5 | Pair
♦K,♥8,♥5,♠7,♦5 | Pair
♦K,♥8,♣7,♥4,♦4 | Pair
♦K,♥8,♣7,♥4,♠7 | Pair
♦K,♥8,♣7,♦4,♠7 | Pair
♦K,♥8,♣7,♥10,♠7 | Pair
♦K,♥8,♣7,♦6,♠7 | Pair
♦K,♥8,♣7,♦9,♠7 | Pair
♦K,♥8,♣7,♠2,♥2 | Pair
♦K,♥8,♣7,♠2,♠7 | Pair
♦K,♥8,♣7,♥2,♠7 | Pair
♦K,♥8,♣7,♠7,♦5 | Pair
♦K,♥8,♥4,♦4,♥10 | Pair
♦K,♥8,♥4,♦4,♦6 | Pair
♦K,♥8,♥4,♦4,♦9 | Pair
♦K,♥8,♥4,♦4,♠2 | Pair
♦K,♥8,♥4,♦4,♥2 | Pair
♦K,♥8,♥4,♦4,♠7 | Pair
♦K,♥8,♥4,♦4,♦5 | Pair
♦K,♥8,♥4,♠2,♥2 | Pair
♦K,♥8,♦4,♠2,♥2 | Pair
♦K,♥8,♥10,♠2,♥2 | Pair
♦K,♥8,♦6,♠2,♥2 | Pair
♦K,♥8,♦9,♠2,♥2 | Pair
♦K,♥8,♠2,♥2,♠7 | Pair
♦K,♥8,♠2,♥2,♦5 | Pair
♦K,♥5,♣7,♥4,♦4 | Pair
♦K,♥5,♣7,♥4,♠7 | Pair
♦K,♥5,♣7,♥4,♦5 | Pair
♦K,♥5,♣7,♦4,♠7 | Pair
♦K,♥5,♣7,♦4,♦5 | Pair
♦K,♥5,♣7,♥10,♠7 | Pair
♦K,♥5,♣7,♥10,♦5 | Pair
♦K,♥5,♣7,♦6,♠7 | Pair
♦K,♥5,♣7,♦6,♦5 | Pair
♦K,♥5,♣7,♦9,♠7 | Pair
♦K,♥5,♣7,♦9,♦5 | Pair
♦K,♥5,♣7,♠2,♥2 | Pair
♦K,♥5,♣7,♠2,♠7 | Pair
♦K,♥5,♣7,♠2,♦5 | Pair
♦K,♥5,♣7,♥2,♠7 | Pair
♦K,♥5,♣7,♥2,♦5 | Pair
♦K,♥5,♣7,♠7,♦5 | Two Pairs
♦K,♥5,♥4,♦4,♥10 | Pair
♦K,♥5,♥4,♦4,♦6 | Pair
♦K,♥5,♥4,♦4,♦9 | Pair
♦K,♥5,♥4,♦4,♠2 | Pair
♦K,♥5,♥4,♦4,♥2 | Pair
♦K,♥5,♥4,♦4,♠7 | Pair
♦K,♥5,♥4,♦4,♦5 | Two Pairs
♦K,♥5,♥4,♥10,♦5 | Pair
♦K,♥5,♥4,♦6,♦5 | Pair
♦K,♥5,♥4,♦9,♦5 | Pair
♦K,♥5,♥4,♠2,♥2 | Pair
♦K,♥5,♥4,♠2,♦5 | Pair
♦K,♥5,♥4,♥2,♦5 | Pair
♦K,♥5,♥4,♠7,♦5 | Pair
♦K,♥5,♦4,♥10,♦5 | Pair
♦K,♥5,♦4,♦6,♦5 | Pair
♦K,♥5,♦4,♦9,♦5 | Pair
♦K,♥5,♦4,♠2,♥2 | Pair
♦K,♥5,♦4,♠2,♦5 | Pair
♦K,♥5,♦4,♥2,♦5 | Pair
♦K,♥5,♦4,♠7,♦5 | Pair
♦K,♥5,♥10,♦6,♦5 | Pair
♦K,♥5,♥10,♦9,♦5 | Pair
♦K,♥5,♥10,♠2,♥2 | Pair
♦K,♥5,♥10,♠2,♦5 | Pair
