♠3,♦7,♥5,♠J,♣5 | Pair
♠3,♦7,♥5,♠J,♦3 | Pair
♠3,♦7,♥5,♠10,♣5 | Pair
♠3,♦7,♥5,♠10,♦3 | Pair
♠3,♦7,♥5,♠10,♦10 | Pair
♠3,♦7,♥5,♠Q,♣5 | Pair
♠3,♦7,♥5,♠Q,♦3 | Pair
♠3,♦7,♥5,♠Q,♥Q | Pair
♠3,♦7,♥5,♠Q,♣Q | Pair
♠3,♦7,♥5,♣2,♣5 | Pair
♠3,♦7,♥5,♣2,♦3 | Pair
♠3,♦7,♥5,♦A,♣5 | Pair
♠3,♦7,♥5,♦A,♦3 | Pair
♠3,♦7,♥5,♣5,♠8 | Pair
♠3,♦7,♥5,♣5,♦3 | Two Pairs
♠3,♦7,♥5,♣5,♥Q | Pair
♠3,♦7,♥5,♣5,♦10 | Pair
♠3,♦7,♥5,♣5,♣Q | Pair
♠3,♦7,♥5,♠8,♦3 | Pair
♠3,♦7,♥5,♦3,♥Q | Pair
♠3,♦7,♥5,♦3,♦10 | Pair
♠3,♦7,♥5,♦3,♣Q | Pair
♠3,♦7,♥5,♥Q,♣Q | Pair
♠3,♦7,♠J,♠10,♦3 | Pair
♠3,♦7,♠J,♠10,♦10 | Pair
♠3,♦7,♠J,♠Q,♦3 | Pair
♠3,♦7,♠J,♠Q,♥Q | Pair
♠3,♦7,♠J,♠Q,♣Q | Pair
♠3,♦7,♠J,♣2,♦3 | Pair
♠3,♦7,♠J,♦A,♦3 | Pair
♠3,♦7,♠J,♣5,♦3 | Pair
♠3,♦7,♠J,♠8,♦3 | Pair
♠3,♦7,♠J,♦3,♥Q | Pair
♠3,♦7,♠J,♦3,♦10 | Pair
♠3,♦7,♠J,♦3,♣Q | Pair
♠3,♦7,♠J,♥Q,♣Q | Pair
♠3,♦7,♠10,♠Q,♦3 | Pair
♠3,♦7,♠10,♠Q,♥Q | Pair
♠3,♦7,♠10,♠Q,♦10 | Pair
♠3,♦7,♠10,♠Q,♣Q | Pair
♠3,♦7,♠10,♣2,♦3 | Pair
♠3,♦7,♠10,♣2,♦10 | Pair
♠3,♦7,♠10,♦A,♦3 | Pair
♠3,♦7,♠10,♦A,♦10 | Pair
♠3,♦7,♠10,♣5,♦3 | Pair
♠3,♦7,♠10,♣5,♦10 | Pair
♠3,♦7,♠10,♠8,♦3 | Pair
♠3,♦7,♠10,♠8,♦10 | Pair
♠3,♦7,♠10,♦3,♥Q | Pair
♠3,♦7,♠10,♦3,♦10 | Two Pairs
♠3,♦7,♠10,♦3,♣Q | Pair
♠3,♦7,♠10,♥Q,♦10 | Pair
♠3,♦7,♠10,♥Q,♣Q | Pair
♠3,♦7,♠10,♦10,♣Q | Pair
♠3,♦7,♠Q,♣2,♦3 | Pair
♠3,♦7,♠Q,♣2,♥Q | Pair
♠3,♦7,♠Q,♣2,♣Q | Pair
♠3,♦7,♠Q,♦A,♦3 | Pair
♠3,♦7,♠Q,♦A,♥Q | Pair
♠3,♦7,♠Q,♦A,♣Q | Pair
♠3,♦7,♠Q,♣5,♦3 | Pair
♠3,♦7,♠Q,♣5,♥Q | Pair
♠3,♦7,♠Q,♣5,♣Q | Pair
♠3,♦7,♠Q,♠8,♦3 | Pair
♠3,♦7,♠Q,♠8,♥Q | Pair
♠3,♦7,♠Q,♠8,♣Q | Pair
♠3,♦7,♠Q,♦3,♥Q | Two Pairs
♠3,♦7,♠Q,♦3,♦10 | Pair
♠3,♦7,♠Q,♦3,♣Q | Two Pairs
♠3,♦7,♠Q,♥Q,♦10 | Pair
♠3,♦7,♠Q,♥Q,♣Q | Three Of A Kind
♠3,♦7,♠Q,♦10,♣Q | Pair
♠3,♦7,♣2,♦A,♦3 | Pair
♠3,♦7,♣2,♣5,♦3 | Pair
♠3,♦7,♣2,♠8,♦3 | Pair
♠3,♦7,♣2,♦3,♥Q | Pair
♠3,♦7,♣2,♦3,♦10 | Pair
♠3,♦7,♣2,♦3,♣Q | Pair
♠3,♦7,♣2,♥Q,♣Q | Pair
♠3,♦7,♦A,♣5,♦3 | Pair
♠3,♦7,♦A,♠8,♦3 | Pair
♠3,♦7,♦A,♦3,♥Q | Pair
♠3,♦7,♦A,♦3,♦10 | Pair
♠3,♦7,♦A,♦3,♣Q | Pair
♠3,♦7,♦A,♥Q,♣Q | Pair
♠3,♦7,♣5,♠8,♦3 | Pair
♠3,♦7,♣5,♦3,♥Q | Pair
♠3,♦7,♣5,♦3,♦10 | Pair
♠3,♦7,♣5,♦3,♣Q | Pair
♠3,♦7,♣5,♥Q,♣Q | Pair
♠3,♦7,♠8,♦3,♥Q | Pair
♠3,♦7,♠8,♦3,♦10 | Pair
♠3,♦7,♠8,♦3,♣Q | Pair
♠3,♦7,♠8,♥Q,♣Q | Pair
♠3,♦7,♦3,♥Q,♦10 | Pair
♠3,♦7,♦3,♥Q,♣Q | Two Pairs
♠3,♦7,♦3,♦10,♣Q | Pair
♠3,♦7,♥Q,♦10,♣Q | Pair
♠3,♥5,♠J,♠10,♣5 | Pair
♠3,♥5,♠J,♠10,♦3 | Pair
♠3,♥5,♠J,♠10,♦10 | Pair
♠3,♥5,♠J,♠Q,♣5 | Pair
♠3,♥5,♠J,♠Q,♦3 | Pair
♠3,♥5,♠J,♠Q,♥Q | Pair
♠3,♥5,♠J,♠Q,♣Q | Pair
♠3,♥5,♠J,♣2,♣5 | Pair
♠3,♥5,♠J,♣2,♦3 | Pair
♠3,♥5,♠J,♦A,♣5 | Pair
♠3,♥5,♠J,♦A,♦3 | Pair
♠3,♥5,♠J,♣5,♠8 | Pair
♠3,♥5,♠J,♣5,♦3 | Two Pairs
♠3,♥5,♠J,♣5,♥Q | Pair
♠3,♥5,♠J,♣5,♦10 | Pair
♠3,♥5,♠J,♣5,♣Q | Pair
♠3,♥5,♠J,♠8,♦3 | Pair
♠3,♥5,♠J,♦3,♥Q | Pair
♠3,♥5,♠J,♦3,♦10 | Pair
♠3,♥5,♠J,♦3,♣Q | Pair
♠3,♥5,♠J,♥Q,♣Q | Pair
♠3,♥5,♠10,♠Q,♣5 | Pair
♠3,♥5,♠10,♠Q,♦3 | Pair
♠3,♥5,♠10,♠Q,♥Q | Pair
♠3,♥5,♠10,♠Q,♦10 | Pair
♠3,♥5,♠10,♠Q,♣Q | Pair
♠3,♥5,♠10,♣2,♣5 | Pair
♠3,♥5,♠10,♣2,♦3 | Pair
♠3,♥5,♠10,♣2,♦10 | Pair
♠3,♥5,♠10,♦A,♣5 | Pair
♠3,♥5,♠10,♦A,♦3 | Pair
♠3,♥5,♠10,♦A,♦10 | Pair
♠3,♥5,♠10,♣5,♠8 | Pair
♠3,♥5,♠10,♣5,♦3 | Two Pairs
♠3,♥5,♠10,♣5,♥Q | Pair
♠3,♥5,♠10,♣5,♦10 | Two Pairs
♠3,♥5,♠10,♣5,♣Q | Pair
♠3,♥5,♠10,♠8,♦3 | Pair
♠3,♥5,♠10,♠8,♦10 | Pair
♠3,♥5,♠10,♦3,♥Q | Pair
♠3,♥5,♠10,♦3,♦10 | Two Pairs
♠3,♥5,♠10,♦3,♣Q | Pair
♠3,♥5,♠10,♥Q,♦10 | Pair
♠3,♥5,♠10,♥Q,♣Q | Pair
♠3,♥5,♠10,♦10,♣Q | Pair
♠3,♥5,♠Q,♣2,♣5 | Pair
♠3,♥5,♠Q,♣2,♦3 | Pair
♠3,♥5,♠Q,♣2,♥Q | Pair
♠3,♥5,♠Q,♣2,♣Q | Pair
♠3,♥5,♠Q,♦A,♣5 | Pair
♠3,♥5,♠Q,♦A,♦3 | Pair
♠3,♥5,♠Q,♦A,♥Q | Pair
♠3,♥5,♠Q,♦A,♣Q | Pair
♠3,♥5,♠Q,♣5,♠8 | Pair
♠3,♥5,♠Q,♣5,♦3 | Two Pairs
♠3,♥5,♠Q,♣5,♥Q | Two Pairs
♠3,♥5,♠Q,♣5,♦10 | Pair
♠3,♥5,♠Q,♣5,♣Q | Two Pairs
♠3,♥5,♠Q,♠8,♦3 | Pair
♠3,♥5,♠Q,♠8,♥Q | Pair
♠3,♥5,♠Q,♠8,♣Q | Pair
♠3,♥5,♠Q,♦3,♥Q | Two Pairs
♠3,♥5,♠Q,♦3,♦10 | Pair
♠3,♥5,♠Q,♦3,♣Q | Two Pairs
♠3,♥5,♠Q,♥Q,♦10 | Pair
♠3,♥5,♠Q,♥Q,♣Q | Three Of A Kind
♠3,♥5,♠Q,♦10,♣Q | Pair
♠3,♥5,♣2,♦A,♣5 | Pair
♠3,♥5,♣2,♦A,♦3 | Pair
♠3,♥5,♣2,♣5,♠8 | Pair
♠3,♥5,♣2,♣5,♦3 | Two Pairs
♠3,♥5,♣2,♣5,♥Q | Pair
♠3,♥5,♣2,♣5,♦10 | Pair
♠3,♥5,♣2,♣5,♣Q | Pair
♠3,♥5,♣2,♠8,♦3 | Pair
♠3,♥5,♣2,♦3,♥Q | Pair
♠3,♥5,♣2,♦3,♦10 | Pair
♠3,♥5,♣2,♦3,♣Q | Pair
♠3,♥5,♣2,♥Q,♣Q | Pair
♠3,♥5,♦A,♣5,♠8 | Pair
♠3,♥5,♦A,♣5,♦3 | Two Pairs
♠3,♥5,♦A,♣5,♥Q | Pair
♠3,♥5,♦A,♣5,♦10 | Pair
♠3,♥5,♦A,♣5,♣Q | Pair
♠3,♥5,♦A,♠8,♦3 | Pair
♠3,♥5,♦A,♦3,♥Q | Pair
♠3,♥5,♦A,♦3,♦10 | Pair
♠3,♥5,♦A,♦3,♣Q | Pair
♠3,♥5,♦A,♥Q,♣Q | Pair
♠3,♥5,♣5,♠8,♦3 | Two Pairs
♠3,♥5,♣5,♠8,♥Q | Pair
♠3,♥5,♣5,♠8,♦10 | Pair
♠3,♥5,♣5,♠8,♣Q | Pair
♠3,♥5,♣5,♦3,♥Q | Two Pairs
♠3,♥5,♣5,♦3,♦10 | Two Pairs
♠3,♥5,♣5,♦3,♣Q | Two Pairs
♠3,♥5,♣5,♥Q,♦10 | Pair
♠3,♥5,♣5,♥Q,♣Q | Two Pairs
♠3,♥5,♣5,♦10,♣Q | Pair
♠3,♥5,♠8,♦3,♥Q | Pair
♠3,♥5,♠8,♦3,♦10 | Pair
♠3,♥5,♠8,♦3,♣Q | Pair
♠3,♥5,♠8,♥Q,♣Q | Pair
♠3,♥5,♦3,♥Q,♦10 | Pair
♠3,♥5,♦3,♥Q,♣Q | Two Pairs
♠3,♥5,♦3,♦10,♣Q | Pair
♠3,♥5,♥Q,♦10,♣Q | Pair
♠3,♠J,♠10,♠Q,♠8 | Flush
