♦Q,♦7,♦A,♠7,♠2 | Pair
♦Q,♦7,♦A,♠7,♣A | Two Pairs
♦Q,♦7,♦A,♠7,♣6 | Pair
♦Q,♦7,♦A,♠7,♠J | Pair
♦Q,♦7,♦A,♠7,♦K | Pair
♦Q,♦7,♦A,♠7,♥A | Two Pairs
♦Q,♦7,♦A,♠7,♦2 | Pair
♦Q,♦7,♦A,♠7,♥4 | Pair
♦Q,♦7,♦A,♠7,♥3 | Pair
♦Q,♦7,♦A,♠7,♦3 | Pair
♦Q,♦7,♦A,♠7,♣5 | Pair
♦Q,♦7,♦A,♠2,♣A | Pair
♦Q,♦7,♦A,♠2,♥A | Pair
♦Q,♦7,♦A,♠2,♦2 | Pair
♦Q,♦7,♦A,♣A,♣6 | Pair
♦Q,♦7,♦A,♣A,♠J | Pair
♦Q,♦7,♦A,♣A,♦K | Pair
♦Q,♦7,♦A,♣A,♥A | Three Of A Kind
♦Q,♦7,♦A,♣A,♦2 | Pair
♦Q,♦7,♦A,♣A,♥4 | Pair
♦Q,♦7,♦A,♣A,♥3 | Pair
♦Q,♦7,♦A,♣A,♦3 | Pair
♦Q,♦7,♦A,♣A,♣5 | Pair
♦Q,♦7,♦A,♣6,♥A | Pair
♦Q,♦7,♦A,♠J,♥A | Pair
♦Q,♦7,♦A,♦K,♥A | Pair
♦Q,♦7,♦A,♦K,♦2 | Flush
♦Q,♦7,♦A,♦K,♦3 | Flush
♦Q,♦7,♦A,♥A,♦2 | Pair
♦Q,♦7,♦A,♥A,♥4 | Pair
♦Q,♦7,♦A,♥A,♥3 | Pair
♦Q,♦7,♦A,♥A,♦3 | Pair
♦Q,♦7,♦A,♥A,♣5 | Pair
♦Q,♦7,♦A,♦2,♦3 | Flush
♦Q,♦7,♦A,♥3,♦3 | Pair
♦Q,♦7,♠7,♠2,♣A | Pair
♦Q,♦7,♠7,♠2,♣6 | Pair
♦Q,♦7,♠7,♠2,♠J | Pair
♦Q,♦7,♠7,♠2,♦K | Pair
♦Q,♦7,♠7,♠2,♥A | Pair
♦Q,♦7,♠7,♠2,♦2 | Two Pairs
♦Q,♦7,♠7,♠2,♥4 | Pair
♦Q,♦7,♠7,♠2,♥3 | Pair
♦Q,♦7,♠7,♠2,♦3 | Pair
♦Q,♦7,♠7,♠2,♣5 | Pair
♦Q,♦7,♠7,♣A,♣6 | Pair
♦Q,♦7,♠7,♣A,♠J | Pair
♦Q,♦7,♠7,♣A,♦K | Pair
♦Q,♦7,♠7,♣A,♥A | Two Pairs
♦Q,♦7,♠7,♣A,♦2 | Pair
