♠Q,♠2,♥2,♣K,♣8 | Pair
♠Q,♠2,♥2,♣K,♥A | Pair
♠Q,♠2,♥2,♣K,♥K | Two Pairs
♠Q,♠2,♥2,♣K,♠6 | Pair
♠Q,♠2,♥2,♣K,♦7 | Pair
♠Q,♠2,♥2,♣K,♥5 | Pair
♠Q,♠2,♥2,♣K,♣6 | Pair
♠Q,♠2,♥2,♣K,♥7 | Pair
♠Q,♠2,♥2,♣8,♥A | Pair
♠Q,♠2,♥2,♣8,♥K | Pair
♠Q,♠2,♥2,♣8,♠6 | Pair
♠Q,♠2,♥2,♣8,♦7 | Pair
♠Q,♠2,♥2,♣8,♥5 | Pair
♠Q,♠2,♥2,♣8,♣6 | Pair
♠Q,♠2,♥2,♣8,♥7 | Pair
♠Q,♠2,♥2,♥A,♥K | Pair
♠Q,♠2,♥2,♥A,♠6 | Pair
♠Q,♠2,♥2,♥A,♦7 | Pair
♠Q,♠2,♥2,♥A,♥5 | Pair
♠Q,♠2,♥2,♥A,♣6 | Pair
♠Q,♠2,♥2,♥A,♥7 | Pair
♠Q,♠2,♥2,♥K,♠6 | Pair
♠Q,♠2,♥2,♥K,♦7 | Pair
♠Q,♠2,♥2,♥K,♥5 | Pair
♠Q,♠2,♥2,♥K,♣6 | Pair
♠Q,♠2,♥2,♥K,♥7 | Pair
♠Q,♠2,♥2,♠6,♦7 | Pair
♠Q,♠2,♥2,♠6,♥5 | Pair
♠Q,♠2,♥2,♠6,♣6 | Two Pairs
♠Q,♠2,♥2,♠6,♥7 | Pair
♠Q,♠2,♥2,♦7,♥5 | Pair
♠Q,♠2,♥2,♦7,♣6 | Pair
♠Q,♠2,♥2,♦7,♥7 | Two Pairs
♠Q,♠2,♥2,♥5,♣6 | Pair
♠Q,♠2,♥2,♥5,♥7 | Pair
♠Q,♠2,♥2,♣6,♥7 | Pair
♠Q,♠2,♣K,♣8,♥K | Pair
♠Q,♠2,♣K,♥A,♥K | Pair
♠Q,♠2,♣K,♥K,♠6 | Pair
♠Q,♠2,♣K,♥K,♦7 | Pair
♠Q,♠2,♣K,♥K,♥5 | Pair
♠Q,♠2,♣K,♥K,♣6 | Pair
♠Q,♠2,♣K,♥K,♥7 | Pair
♠Q,♠2,♣K,♠6,♣6 | Pair
♠Q,♠2,♣K,♦7,♥7 | Pair
♠Q,♠2,♣8,♠6,♣6 | Pair
♠Q,♠2,♣8,♦7,♥7 | Pair
♠Q,♠2,♥A,♠6,♣6 | Pair
♠Q,♠2,♥A,♦7,♥7 | Pair
♠Q,♠2,♥K,♠6,♣6 | Pair
♠Q,♠2,♥K,♦7,♥7 | Pair
♠Q,♠2,♠6,♦7,♣6 | Pair
♠Q,♠2,♠6,♦7,♥7 | Pair
♠Q,♠2,♠6,♥5,♣6 | Pair
♠Q,♠2,♠6,♣6,♥7 | Pair
♠Q,♠2,♦7,♥5,♥7 | Pair
♠Q,♠2,♦7,♣6,♥7 | Pair
♠Q,♥2,♣K,♣8,♥K | Pair
♠Q,♥2,♣K,♥A,♥K | Pair
♠Q,♥2,♣K,♥K,♠6 | Pair
♠Q,♥2,♣K,♥K,♦7 | Pair
♠Q,♥2,♣K,♥K,♥5 | Pair
♠Q,♥2,♣K,♥K,♣6 | Pair
♠Q,♥2,♣K,♥K,♥7 | Pair
♠Q,♥2,♣K,♠6,♣6 | Pair
♠Q,♥2,♣K,♦7,♥7 | Pair
♠Q,♥2,♣8,♠6,♣6 | Pair
♠Q,♥2,♣8,♦7,♥7 | Pair
♠Q,♥2,♥A,♠6,♣6 | Pair
♠Q,♥2,♥A,♦7,♥7 | Pair
♠Q,♥2,♥K,♠6,♣6 | Pair
♠Q,♥2,♥K,♦7,♥7 | Pair
♠Q,♥2,♠6,♦7,♣6 | Pair
♠Q,♥2,♠6,♦7,♥7 | Pair
♠Q,♥2,♠6,♥5,♣6 | Pair
♠Q,♥2,♠6,♣6,♥7 | Pair
♠Q,♥2,♦7,♥5,♥7 | Pair
♠Q,♥2,♦7,♣6,♥7 | Pair
♠Q,♣K,♣8,♥A,♥K | Pair
♠Q,♣K,♣8,♥K,♠6 | Pair
♠Q,♣K,♣8,♥K,♦7 | Pair
♠Q,♣K,♣8,♥K,♥5 | Pair
♠Q,♣K,♣8,♥K,♣6 | Pair
♠Q,♣K,♣8,♥K,♥7 | Pair
♠Q,♣K,♣8,♠6,♣6 | Pair
♠Q,♣K,♣8,♦7,♥7 | Pair
♠Q,♣K,♥A,♥K,♠6 | Pair
♠Q,♣K,♥A,♥K,♦7 | Pair
♠Q,♣K,♥A,♥K,♥5 | Pair
♠Q,♣K,♥A,♥K,♣6 | Pair
♠Q,♣K,♥A,♥K,♥7 | Pair
♠Q,♣K,♥A,♠6,♣6 | Pair
♠Q,♣K,♥A,♦7,♥7 | Pair
♠Q,♣K,♥K,♠6,♦7 | Pair
♠Q,♣K,♥K,♠6,♥5 | Pair
♠Q,♣K,♥K,♠6,♣6 | Two Pairs
♠Q,♣K,♥K,♠6,♥7 | Pair
♠Q,♣K,♥K,♦7,♥5 | Pair
♠Q,♣K,♥K,♦7,♣6 | Pair
♠Q,♣K,♥K,♦7,♥7 | Two Pairs
♠Q,♣K,♥K,♥5,♣6 | Pair
♠Q,♣K,♥K,♥5,♥7 | Pair
♠Q,♣K,♥K,♣6,♥7 | Pair
♠Q,♣K,♠6,♦7,♣6 | Pair
♠Q,♣K,♠6,♦7,♥7 | Pair
♠Q,♣K,♠6,♥5,♣6 | Pair
♠Q,♣K,♠6,♣6,♥7 | Pair
♠Q,♣K,♦7,♥5,♥7 | Pair
♠Q,♣K,♦7,♣6,♥7 | Pair
♠Q,♣8,♥A,♠6,♣6 | Pair
♠Q,♣8,♥A,♦7,♥7 | Pair
♠Q,♣8,♥K,♠6,♣6 | Pair
♠Q,♣8,♥K,♦7,♥7 | Pair
♠Q,♣8,♠6,♦7,♣6 | Pair
♠Q,♣8,♠6,♦7,♥7 | Pair
♠Q,♣8,♠6,♥5,♣6 | Pair
♠Q,♣8,♠6,♣6,♥7 | Pair
♠Q,♣8,♦7,♥5,♥7 | Pair
♠Q,♣8,♦7,♣6,♥7 | Pair
♠Q,♥A,♥K,♠6,♣6 | Pair
♠Q,♥A,♥K,♦7,♥7 | Pair
♠Q,♥A,♠6,♦7,♣6 | Pair
♠Q,♥A,♠6,♦7,♥7 | Pair
♠Q,♥A,♠6,♥5,♣6 | Pair
♠Q,♥A,♠6,♣6,♥7 | Pair
♠Q,♥A,♦7,♥5,♥7 | Pair
♠Q,♥A,♦7,♣6,♥7 | Pair
♠Q,♥K,♠6,♦7,♣6 | Pair
♠Q,♥K,♠6,♦7,♥7 | Pair
♠Q,♥K,♠6,♥5,♣6 | Pair
♠Q,♥K,♠6,♣6,♥7 | Pair
♠Q,♥K,♦7,♥5,♥7 | Pair
♠Q,♥K,♦7,♣6,♥7 | Pair
♠Q,♠6,♦7,♥5,♣6 | Pair
♠Q,♠6,♦7,♥5,♥7 | Pair
♠Q,♠6,♦7,♣6,♥7 | Two Pairs
♠Q,♠6,♥5,♣6,♥7 | Pair
