♠4,♣Q,♦7,♥8,♣8 | Pair
♠4,♣Q,♦7,♣2,♠2 | Pair
♠4,♣Q,♥8,♣2,♠2 | Pair
♠4,♣Q,♥8,♣2,♣8 | Pair
♠4,♣Q,♥8,♣5,♣8 | Pair
♠4,♣Q,♥8,♣K,♣8 | Pair
♠4,♣Q,♥8,♦6,♣8 | Pair
♠4,♣Q,♥8,♠2,♣8 | Pair
♠4,♣Q,♣2,♣5,♠2 | Pair
♠4,♣Q,♣2,♣K,♠2 | Pair
♠4,♣Q,♣2,♦6,♠2 | Pair
♠4,♣Q,♣2,♠2,♣8 | Pair
♠4,♦7,♥8,♣2,♠2 | Pair
♠4,♦7,♥8,♣2,♣8 | Pair
♠4,♦7,♥8,♣5,♦6 | Straight
♠4,♦7,♥8,♣5,♣8 | Pair
♠4,♦7,♥8,♣K,♣8 | Pair
♠4,♦7,♥8,♦6,♣8 | Pair
♠4,♦7,♥8,♠2,♣8 | Pair
♠4,♦7,♣2,♣5,♠2 | Pair
♠4,♦7,♣2,♣K,♠2 | Pair
♠4,♦7,♣2,♦6,♠2 | Pair
♠4,♦7,♣2,♠2,♣8 | Pair
♠4,♦7,♣5,♦6,♣8 | Straight
♠4,♥8,♣2,♣5,♠2 | Pair
♠4,♥8,♣2,♣5,♣8 | Pair
♠4,♥8,♣2,♣K,♠2 | Pair
♠4,♥8,♣2,♣K,♣8 | Pair
♠4,♥8,♣2,♦6,♠2 | Pair
♠4,♥8,♣2,♦6,♣8 | Pair
♠4,♥8,♣2,♠2,♣8 | Two Pairs
♠4,♥8,♣5,♣K,♣8 | Pair
♠4,♥8,♣5,♦6,♣8 | Pair
♠4,♥8,♣5,♠2,♣8 | Pair
♠4,♥8,♣K,♦6,♣8 | Pair
♠4,♥8,♣K,♠2,♣8 | Pair
♠4,♥8,♦6,♠2,♣8 | Pair
♠4,♣2,♣5,♣K,♠2 | Pair
♠4,♣2,♣5,♦6,♠2 | Pair
♠4,♣2,♣5,♠2,♣8 | Pair
♠4,♣2,♣K,♦6,♠2 | Pair
♠4,♣2,♣K,♠2,♣8 | Pair
♠4,♣2,♦6,♠2,♣8 | Pair
♣Q,♦7,♥8,♣2,♠2 | Pair
♣Q,♦7,♥8,♣2,♣8 | Pair
♣Q,♦7,♥8,♣5,♣8 | Pair
♣Q,♦7,♥8,♣K,♣8 | Pair
♣Q,♦7,♥8,♦6,♣8 | Pair
♣Q,♦7,♥8,♠2,♣8 | Pair
♣Q,♦7,♣2,♣5,♠2 | Pair
♣Q,♦7,♣2,♣K,♠2 | Pair
♣Q,♦7,♣2,♦6,♠2 | Pair
♣Q,♦7,♣2,♠2,♣8 | Pair
♣Q,♥8,♣2,♣5,♠2 | Pair
♣Q,♥8,♣2,♣5,♣8 | Pair
♣Q,♥8,♣2,♣K,♠2 | Pair
♣Q,♥8,♣2,♣K,♣8 | Pair
♣Q,♥8,♣2,♦6,♠2 | Pair
♣Q,♥8,♣2,♦6,♣8 | Pair
♣Q,♥8,♣2,♠2,♣8 | Two Pairs
♣Q,♥8,♣5,♣K,♣8 | Pair
♣Q,♥8,♣5,♦6,♣8 | Pair
♣Q,♥8,♣5,♠2,♣8 | Pair
♣Q,♥8,♣K,♦6,♣8 | Pair
♣Q,♥8,♣K,♠2,♣8 | Pair
♣Q,♥8,♦6,♠2,♣8 | Pair
♣Q,♣2,♣5,♣K,♠2 | Pair
♣Q,♣2,♣5,♣K,♣8 | Flush
♣Q,♣2,♣5,♦6,♠2 | Pair
♣Q,♣2,♣5,♠2,♣8 | Pair
♣Q,♣2,♣K,♦6,♠2 | Pair
♣Q,♣2,♣K,♠2,♣8 | Pair
♣Q,♣2,♦6,♠2,♣8 | Pair
♦7,♥8,♣2,♣5,♠2 | Pair
♦7,♥8,♣2,♣5,♣8 | Pair
♦7,♥8,♣2,♣K,♠2 | Pair
♦7,♥8,♣2,♣K,♣8 | Pair
♦7,♥8,♣2,♦6,♠2 | Pair
♦7,♥8,♣2,♦6,♣8 | Pair
♦7,♥8,♣2,♠2,♣8 | Two Pairs
♦7,♥8,♣5,♣K,♣8 | Pair
♦7,♥8,♣5,♦6,♣8 | Pair
♦7,♥8,♣5,♠2,♣8 | Pair
♦7,♥8,♣K,♦6,♣8 | Pair
♦7,♥8,♣K,♠2,♣8 | Pair
♦7,♥8,♦6,♠2,♣8 | Pair
♦7,♣2,♣5,♣K,♠2 | Pair
♦7,♣2,♣5,♦6,♠2 | Pair
♦7,♣2,♣5,♠2,♣8 | Pair
♦7,♣2,♣K,♦6,♠2 | Pair
♦7,♣2,♣K,♠2,♣8 | Pair
♦7,♣2,♦6,♠2,♣8 | Pair
♥8,♣2,♣5,♣K,♠2 | Pair
♥8,♣2,♣5,♣K,♣8 | Pair
♥8,♣2,♣5,♦6,♠2 | Pair
♥8,♣2,♣5,♦6,♣8 | Pair
♥8,♣2,♣5,♠2,♣8 | Two Pairs
♥8,♣2,♣K,♦6,♠2 | Pair
♥8,♣2,♣K,♦6,♣8 | Pair
♥8,♣2,♣K,♠2,♣8 | Two Pairs
♥8,♣2,♦6,♠2,♣8 | Two Pairs
♥8,♣5,♣K,♦6,♣8 | Pair
♥8,♣5,♣K,♠2,♣8 | Pair
♥8,♣5,♦6,♠2,♣8 | Pair
♥8,♣K,♦6,♠2,♣8 | Pair
♣2,♣5,♣K,♦6,♠2 | Pair
♣2,♣5,♣K,♠2,♣8 | Pair
♣2,♣5,♦6,♠2,♣8 | Pair
♣2,♣K,♦6,♠2,♣8 | Pair
