♦A,♠6,♦K,♠Q,♣K | Pair
♦A,♠6,♦K,♠Q,♥Q | Pair
♦A,♠6,♦K,♣2,♣K | Pair
♦A,♠6,♦K,♣2,♥2 | Pair
♦A,♠6,♦K,♣K,♥10 | Pair
♦A,♠6,♦K,♣K,♣5 | Pair
♦A,♠6,♦K,♣K,♣8 | Pair
♦A,♠6,♦K,♣K,♥2 | Pair
♦A,♠6,♦K,♣K,♥Q | Pair
♦A,♠6,♦K,♣K,♣9 | Pair
♦A,♠6,♠Q,♣2,♥2 | Pair
♦A,♠6,♠Q,♣2,♥Q | Pair
♦A,♠6,♠Q,♣K,♥Q | Pair
♦A,♠6,♠Q,♥10,♥Q | Pair
♦A,♠6,♠Q,♣5,♥Q | Pair
♦A,♠6,♠Q,♣8,♥Q | Pair
♦A,♠6,♠Q,♥2,♥Q | Pair
♦A,♠6,♠Q,♥Q,♣9 | Pair
♦A,♠6,♣2,♣K,♥2 | Pair
♦A,♠6,♣2,♥10,♥2 | Pair
♦A,♠6,♣2,♣5,♥2 | Pair
♦A,♠6,♣2,♣8,♥2 | Pair
♦A,♠6,♣2,♥2,♥Q | Pair
♦A,♠6,♣2,♥2,♣9 | Pair
♦A,♦K,♠Q,♣2,♣K | Pair
♦A,♦K,♠Q,♣2,♥2 | Pair
♦A,♦K,♠Q,♣2,♥Q | Pair
♦A,♦K,♠Q,♣K,♥10 | Pair
♦A,♦K,♠Q,♣K,♣5 | Pair
♦A,♦K,♠Q,♣K,♣8 | Pair
♦A,♦K,♠Q,♣K,♥2 | Pair
♦A,♦K,♠Q,♣K,♥Q | Two Pairs
♦A,♦K,♠Q,♣K,♣9 | Pair
♦A,♦K,♠Q,♥10,♥Q | Pair
♦A,♦K,♠Q,♣5,♥Q | Pair
♦A,♦K,♠Q,♣8,♥Q | Pair
♦A,♦K,♠Q,♥2,♥Q | Pair
♦A,♦K,♠Q,♥Q,♣9 | Pair
♦A,♦K,♣2,♣K,♥10 | Pair
♦A,♦K,♣2,♣K,♣5 | Pair
♦A,♦K,♣2,♣K,♣8 | Pair
♦A,♦K,♣2,♣K,♥2 | Two Pairs
♦A,♦K,♣2,♣K,♥Q | Pair
♦A,♦K,♣2,♣K,♣9 | Pair
♦A,♦K,♣2,♥10,♥2 | Pair
♦A,♦K,♣2,♣5,♥2 | Pair
♦A,♦K,♣2,♣8,♥2 | Pair
♦A,♦K,♣2,♥2,♥Q | Pair
♦A,♦K,♣2,♥2,♣9 | Pair
♦A,♦K,♣K,♥10,♣5 | Pair
♦A,♦K,♣K,♥10,♣8 | Pair
♦A,♦K,♣K,♥10,♥2 | Pair
♦A,♦K,♣K,♥10,♥Q | Pair
♦A,♦K,♣K,♥10,♣9 | Pair
♦A,♦K,♣K,♣5,♣8 | Pair
♦A,♦K,♣K,♣5,♥2 | Pair
♦A,♦K,♣K,♣5,♥Q | Pair
♦A,♦K,♣K,♣5,♣9 | Pair
♦A,♦K,♣K,♣8,♥2 | Pair
♦A,♦K,♣K,♣8,♥Q | Pair
♦A,♦K,♣K,♣8,♣9 | Pair
♦A,♦K,♣K,♥2,♥Q | Pair
