♠5,♣J,♣2,♣6,♦2 | Pair
♠5,♣J,♣2,♣6,♥2 | Pair
♠5,♣J,♣2,♥K,♦2 | Pair
♠5,♣J,♣2,♥K,♠K | Pair
♠5,♣J,♣2,♥K,♥2 | Pair
♠5,♣J,♣2,♦2,♦3 | Pair
♠5,♣J,♣2,♦2,♣9 | Pair
♠5,♣J,♣2,♦2,♠9 | Pair
♠5,♣J,♣2,♦2,♠K | Pair
♠5,♣J,♣2,♦2,♠10 | Pair
♠5,♣J,♣2,♦2,♠4 | Pair
♠5,♣J,♣2,♦2,♥2 | Three Of A Kind
♠5,♣J,♣2,♦3,♥2 | Pair
♠5,♣J,♣2,♣9,♠9 | Pair
♠5,♣J,♣2,♣9,♥2 | Pair
♠5,♣J,♣2,♠9,♥2 | Pair
♠5,♣J,♣2,♠K,♥2 | Pair
♠5,♣J,♣2,♠10,♥2 | Pair
♠5,♣J,♣2,♠4,♥2 | Pair
♠5,♣J,♣6,♥K,♠K | Pair
♠5,♣J,♣6,♦2,♥2 | Pair
♠5,♣J,♣6,♣9,♠9 | Pair
♠5,♣J,♥K,♦2,♠K | Pair
♠5,♣J,♥K,♦2,♥2 | Pair
♠5,♣J,♥K,♦3,♠K | Pair
♠5,♣J,♥K,♣9,♠9 | Pair
♠5,♣J,♥K,♣9,♠K | Pair
♠5,♣J,♥K,♠9,♠K | Pair
♠5,♣J,♥K,♠K,♠10 | Pair
♠5,♣J,♥K,♠K,♠4 | Pair
♠5,♣J,♥K,♠K,♥2 | Pair
♠5,♣J,♦2,♦3,♥2 | Pair
♠5,♣J,♦2,♣9,♠9 | Pair
♠5,♣J,♦2,♣9,♥2 | Pair
♠5,♣J,♦2,♠9,♥2 | Pair
♠5,♣J,♦2,♠K,♥2 | Pair
♠5,♣J,♦2,♠10,♥2 | Pair
♠5,♣J,♦2,♠4,♥2 | Pair
♠5,♣J,♦3,♣9,♠9 | Pair
♠5,♣J,♣9,♠9,♠K | Pair
♠5,♣J,♣9,♠9,♠10 | Pair
♠5,♣J,♣9,♠9,♠4 | Pair
♠5,♣J,♣9,♠9,♥2 | Pair
♠5,♣2,♣6,♥K,♦2 | Pair
♠5,♣2,♣6,♥K,♠K | Pair
♠5,♣2,♣6,♥K,♥2 | Pair
♠5,♣2,♣6,♦2,♦3 | Pair
♠5,♣2,♣6,♦2,♣9 | Pair
♠5,♣2,♣6,♦2,♠9 | Pair
♠5,♣2,♣6,♦2,♠K | Pair
♠5,♣2,♣6,♦2,♠10 | Pair
♠5,♣2,♣6,♦2,♠4 | Pair
♠5,♣2,♣6,♦2,♥2 | Three Of A Kind
♠5,♣2,♣6,♦3,♠4 | Straight
♠5,♣2,♣6,♦3,♥2 | Pair
♠5,♣2,♣6,♣9,♠9 | Pair
♠5,♣2,♣6,♣9,♥2 | Pair
♠5,♣2,♣6,♠9,♥2 | Pair
♠5,♣2,♣6,♠K,♥2 | Pair
♠5,♣2,♣6,♠10,♥2 | Pair
♠5,♣2,♣6,♠4,♥2 | Pair
♠5,♣2,♥K,♦2,♦3 | Pair
♠5,♣2,♥K,♦2,♣9 | Pair
♠5,♣2,♥K,♦2,♠9 | Pair
♠5,♣2,♥K,♦2,♠K | Two Pairs
♠5,♣2,♥K,♦2,♠10 | Pair
♠5,♣2,♥K,♦2,♠4 | Pair
♠5,♣2,♥K,♦2,♥2 | Three Of A Kind
♠5,♣2,♥K,♦3,♠K | Pair
♠5,♣2,♥K,♦3,♥2 | Pair
♠5,♣2,♥K,♣9,♠9 | Pair
♠5,♣2,♥K,♣9,♠K | Pair
♠5,♣2,♥K,♣9,♥2 | Pair
♠5,♣2,♥K,♠9,♠K | Pair
♠5,♣2,♥K,♠9,♥2 | Pair
♠5,♣2,♥K,♠K,♠10 | Pair
♠5,♣2,♥K,♠K,♠4 | Pair
♠5,♣2,♥K,♠K,♥2 | Two Pairs
♠5,♣2,♥K,♠10,♥2 | Pair
♠5,♣2,♥K,♠4,♥2 | Pair
♠5,♣2,♦2,♦3,♣9 | Pair
♠5,♣2,♦2,♦3,♠9 | Pair
♠5,♣2,♦2,♦3,♠K | Pair
♠5,♣2,♦2,♦3,♠10 | Pair
♠5,♣2,♦2,♦3,♠4 | Pair
♠5,♣2,♦2,♦3,♥2 | Three Of A Kind
♠5,♣2,♦2,♣9,♠9 | Two Pairs
