♣Q,♣4,♥10,♥3,♦3 | Pair
♣Q,♣4,♥10,♥J,♦J | Pair
♣Q,♣4,♥3,♥J,♦J | Pair
♣Q,♣4,♥3,♥J,♦3 | Pair
♣Q,♣4,♥3,♥9,♦3 | Pair
♣Q,♣4,♥3,♣2,♦3 | Pair
♣Q,♣4,♥3,♦J,♦3 | Pair
♣Q,♣4,♥3,♣K,♦3 | Pair
♣Q,♣4,♥3,♦3,♠5 | Pair
♣Q,♣4,♥3,♦3,♥6 | Pair
♣Q,♣4,♥J,♥9,♦J | Pair
♣Q,♣4,♥J,♣2,♦J | Pair
♣Q,♣4,♥J,♦J,♣K | Pair
♣Q,♣4,♥J,♦J,♦3 | Pair
♣Q,♣4,♥J,♦J,♠5 | Pair
♣Q,♣4,♥J,♦J,♥6 | Pair
♣Q,♥10,♥3,♥J,♦J | Pair
♣Q,♥10,♥3,♥J,♦3 | Pair
♣Q,♥10,♥3,♥9,♦3 | Pair
♣Q,♥10,♥3,♣2,♦3 | Pair
♣Q,♥10,♥3,♦J,♦3 | Pair
♣Q,♥10,♥3,♣K,♦3 | Pair
♣Q,♥10,♥3,♦3,♠5 | Pair
♣Q,♥10,♥3,♦3,♥6 | Pair
♣Q,♥10,♥J,♥9,♦J | Pair
♣Q,♥10,♥J,♥9,♣K | Straight
♣Q,♥10,♥J,♣2,♦J | Pair
♣Q,♥10,♥J,♦J,♣K | Pair
♣Q,♥10,♥J,♦J,♦3 | Pair
♣Q,♥10,♥J,♦J,♠5 | Pair
♣Q,♥10,♥J,♦J,♥6 | Pair
♣Q,♥10,♥9,♦J,♣K | Straight
♣Q,♥3,♥J,♥9,♦J | Pair
♣Q,♥3,♥J,♥9,♦3 | Pair
♣Q,♥3,♥J,♣2,♦J | Pair
♣Q,♥3,♥J,♣2,♦3 | Pair
♣Q,♥3,♥J,♦J,♣K | Pair
♣Q,♥3,♥J,♦J,♦3 | Two Pairs
♣Q,♥3,♥J,♦J,♠5 | Pair
♣Q,♥3,♥J,♦J,♥6 | Pair
♣Q,♥3,♥J,♣K,♦3 | Pair
♣Q,♥3,♥J,♦3,♠5 | Pair
♣Q,♥3,♥J,♦3,♥6 | Pair
♣Q,♥3,♥9,♣2,♦3 | Pair
♣Q,♥3,♥9,♦J,♦3 | Pair
♣Q,♥3,♥9,♣K,♦3 | Pair
♣Q,♥3,♥9,♦3,♠5 | Pair
♣Q,♥3,♥9,♦3,♥6 | Pair
♣Q,♥3,♣2,♦J,♦3 | Pair
