♣K,♥10,♠3,♠4,♣4 | Pair
♣K,♥10,♠3,♠4,♦10 | Pair
♣K,♥10,♠3,♠5,♦5 | Pair
♣K,♥10,♠3,♠5,♦10 | Pair
♣K,♥10,♠3,♣4,♦10 | Pair
♣K,♥10,♠3,♦5,♦10 | Pair
♣K,♥10,♠4,♠5,♣4 | Pair
♣K,♥10,♠4,♠5,♦5 | Pair
♣K,♥10,♠4,♠5,♦10 | Pair
♣K,♥10,♠4,♣4,♦5 | Pair
♣K,♥10,♠4,♣4,♦10 | Two Pairs
♣K,♥10,♠4,♦5,♦10 | Pair
♣K,♥10,♠5,♣4,♦5 | Pair
♣K,♥10,♠5,♣4,♦10 | Pair
♣K,♥10,♠5,♦5,♦10 | Two Pairs
♣K,♥10,♣4,♦5,♦10 | Pair
♣K,♠3,♠4,♠5,♣4 | Pair
♣K,♠3,♠4,♠5,♦5 | Pair
♣K,♠3,♠4,♣4,♦5 | Pair
♣K,♠3,♠4,♣4,♦10 | Pair
♣K,♠3,♠5,♣4,♦5 | Pair
♣K,♠3,♠5,♦5,♦10 | Pair
♣K,♠4,♠5,♣4,♦5 | Two Pairs
♣K,♠4,♠5,♣4,♦10 | Pair
♣K,♠4,♠5,♦5,♦10 | Pair
♣K,♠4,♣4,♦5,♦10 | Pair
♣K,♠5,♣4,♦5,♦10 | Pair
♥10,♠3,♠4,♠5,♣4 | Pair
♥10,♠3,♠4,♠5,♦5 | Pair
♥10,♠3,♠4,♠5,♦10 | Pair
♥10,♠3,♠4,♣4,♦5 | Pair
♥10,♠3,♠4,♣4,♦10 | Two Pairs
♥10,♠3,♠4,♦5,♦10 | Pair
♥10,♠3,♠5,♣4,♦5 | Pair
♥10,♠3,♠5,♣4,♦10 | Pair
♥10,♠3,♠5,♦5,♦10 | Two Pairs
♥10,♠3,♣4,♦5,♦10 | Pair
♥10,♠4,♠5,♣4,♦5 | Two Pairs
♥10,♠4,♠5,♣4,♦10 | Two Pairs
♥10,♠4,♠5,♦5,♦10 | Two Pairs
♥10,♠4,♣4,♦5,♦10 | Two Pairs
♥10,♠5,♣4,♦5,♦10 | Two Pairs
♠3,♠4,♠5,♣4,♦5 | Two Pairs
♠3,♠4,♠5,♣4,♦10 | Pair
♠3,♠4,♠5,♦5,♦10 | Pair
♠3,♠4,♣4,♦5,♦10 | Pair
♠3,♠5,♣4,♦5,♦10 | Pair
♠4,♠5,♣4,♦5,♦10 | Two Pairs
