♥9,♥3,♦10,♠J,♥J | Pair
♥9,♥3,♦5,♠J,♥J | Pair
♥9,♥3,♥8,♠J,♥J | Pair
♥9,♥3,♠J,♠2,♥J | Pair
♥9,♥3,♠J,♠7,♥J | Pair
♥9,♥3,♠J,♣6,♥J | Pair
♥9,♦10,♦5,♠J,♥J | Pair
♥9,♦10,♥8,♠J,♠7 | Straight
♥9,♦10,♥8,♠J,♥J | Pair
♥9,♦10,♥8,♠7,♣6 | Straight
♥9,♦10,♥8,♠7,♥J | Straight
♥9,♦10,♠J,♠2,♥J | Pair
♥9,♦10,♠J,♠7,♥J | Pair
♥9,♦10,♠J,♣6,♥J | Pair
♥9,♦5,♥8,♠J,♥J | Pair
♥9,♦5,♥8,♠7,♣6 | Straight
♥9,♦5,♠J,♠2,♥J | Pair
♥9,♦5,♠J,♠7,♥J | Pair
♥9,♦5,♠J,♣6,♥J | Pair
♥9,♥8,♠J,♠2,♥J | Pair
♥9,♥8,♠J,♠7,♥J | Pair
♥9,♥8,♠J,♣6,♥J | Pair
♥9,♠J,♠2,♠7,♥J | Pair
♥9,♠J,♠2,♣6,♥J | Pair
♥9,♠J,♠7,♣6,♥J | Pair
♥3,♦10,♦5,♠J,♥J | Pair
♥3,♦10,♥8,♠J,♥J | Pair
♥3,♦10,♠J,♠2,♥J | Pair
♥3,♦10,♠J,♠7,♥J | Pair
♥3,♦10,♠J,♣6,♥J | Pair
♥3,♦5,♥8,♠J,♥J | Pair
♥3,♦5,♠J,♠2,♥J | Pair
♥3,♦5,♠J,♠7,♥J | Pair
♥3,♦5,♠J,♣6,♥J | Pair
♥3,♥8,♠J,♠2,♥J | Pair
♥3,♥8,♠J,♠7,♥J | Pair
♥3,♥8,♠J,♣6,♥J | Pair
♥3,♠J,♠2,♠7,♥J | Pair
♥3,♠J,♠2,♣6,♥J | Pair
♥3,♠J,♠7,♣6,♥J | Pair
♦10,♦5,♥8,♠J,♥J | Pair
♦10,♦5,♠J,♠2,♥J | Pair
♦10,♦5,♠J,♠7,♥J | Pair
♦10,♦5,♠J,♣6,♥J | Pair
♦10,♥8,♠J,♠2,♥J | Pair
♦10,♥8,♠J,♠7,♥J | Pair
♦10,♥8,♠J,♣6,♥J | Pair
♦10,♠J,♠2,♠7,♥J | Pair
♦10,♠J,♠2,♣6,♥J | Pair
♦10,♠J,♠7,♣6,♥J | Pair
♦5,♥8,♠J,♠2,♥J | Pair
♦5,♥8,♠J,♠7,♥J | Pair
♦5,♥8,♠J,♣6,♥J | Pair
♦5,♠J,♠2,♠7,♥J | Pair
♦5,♠J,♠2,♣6,♥J | Pair
♦5,♠J,♠7,♣6,♥J | Pair
♥8,♠J,♠2,♠7,♥J | Pair
♥8,♠J,♠2,♣6,♥J | Pair
♥8,♠J,♠7,♣6,♥J | Pair
♠J,♠2,♠7,♣6,♥J | Pair
