♠J,♥7,♣10,♣2,♣J | Pair
♠J,♥7,♣10,♣2,♠10 | Pair
♠J,♥7,♣10,♣Q,♠Q | Pair
♠J,♥7,♣10,♣Q,♣J | Pair
♠J,♥7,♣10,♣Q,♠10 | Pair
♠J,♥7,♣10,♠5,♣J | Pair
♠J,♥7,♣10,♠5,♠10 | Pair
♠J,♥7,♣10,♥8,♣J | Pair
♠J,♥7,♣10,♥8,♠10 | Pair
♠J,♥7,♣10,♥8,♦8 | Pair
♠J,♥7,♣10,♠Q,♣J | Pair
♠J,♥7,♣10,♠Q,♠10 | Pair
♠J,♥7,♣10,♠3,♣J | Pair
♠J,♥7,♣10,♠3,♠10 | Pair
♠J,♥7,♣10,♠3,♥3 | Pair
♠J,♥7,♣10,♣J,♠10 | Two Pairs
♠J,♥7,♣10,♣J,♥3 | Pair
♠J,♥7,♣10,♣J,♠6 | Pair
♠J,♥7,♣10,♣J,♦8 | Pair
♠J,♥7,♣10,♣J,♣4 | Pair
♠J,♥7,♣10,♠10,♥3 | Pair
♠J,♥7,♣10,♠10,♠6 | Pair
♠J,♥7,♣10,♠10,♦8 | Pair
♠J,♥7,♣10,♠10,♣4 | Pair
♠J,♥7,♣2,♣Q,♠Q | Pair
♠J,♥7,♣2,♣Q,♣J | Pair
♠J,♥7,♣2,♠5,♣J | Pair
♠J,♥7,♣2,♥8,♣J | Pair
♠J,♥7,♣2,♥8,♦8 | Pair
♠J,♥7,♣2,♠Q,♣J | Pair
♠J,♥7,♣2,♠3,♣J | Pair
♠J,♥7,♣2,♠3,♥3 | Pair
♠J,♥7,♣2,♣J,♠10 | Pair
♠J,♥7,♣2,♣J,♥3 | Pair
♠J,♥7,♣2,♣J,♠6 | Pair
♠J,♥7,♣2,♣J,♦8 | Pair
♠J,♥7,♣2,♣J,♣4 | Pair
♠J,♥7,♣Q,♠5,♠Q | Pair
♠J,♥7,♣Q,♠5,♣J | Pair
♠J,♥7,♣Q,♥8,♠Q | Pair
♠J,♥7,♣Q,♥8,♣J | Pair
♠J,♥7,♣Q,♥8,♦8 | Pair
♠J,♥7,♣Q,♠Q,♠3 | Pair
♠J,♥7,♣Q,♠Q,♣J | Two Pairs
♠J,♥7,♣Q,♠Q,♠10 | Pair
♠J,♥7,♣Q,♠Q,♥3 | Pair
♠J,♥7,♣Q,♠Q,♠6 | Pair
♠J,♥7,♣Q,♠Q,♦8 | Pair
♠J,♥7,♣Q,♠Q,♣4 | Pair
♠J,♥7,♣Q,♠3,♣J | Pair
♠J,♥7,♣Q,♠3,♥3 | Pair
♠J,♥7,♣Q,♣J,♠10 | Pair
♠J,♥7,♣Q,♣J,♥3 | Pair
♠J,♥7,♣Q,♣J,♠6 | Pair
♠J,♥7,♣Q,♣J,♦8 | Pair
♠J,♥7,♣Q,♣J,♣4 | Pair
♠J,♥7,♠5,♥8,♣J | Pair
♠J,♥7,♠5,♥8,♦8 | Pair
♠J,♥7,♠5,♠Q,♣J | Pair
♠J,♥7,♠5,♠3,♣J | Pair
♠J,♥7,♠5,♠3,♥3 | Pair
♠J,♥7,♠5,♣J,♠10 | Pair
♠J,♥7,♠5,♣J,♥3 | Pair
♠J,♥7,♠5,♣J,♠6 | Pair
♠J,♥7,♠5,♣J,♦8 | Pair
♠J,♥7,♠5,♣J,♣4 | Pair
♠J,♥7,♥8,♠Q,♣J | Pair
♠J,♥7,♥8,♠Q,♦8 | Pair
♠J,♥7,♥8,♠3,♣J | Pair
♠J,♥7,♥8,♠3,♥3 | Pair
♠J,♥7,♥8,♠3,♦8 | Pair
♠J,♥7,♥8,♣J,♠10 | Pair
♠J,♥7,♥8,♣J,♥3 | Pair
♠J,♥7,♥8,♣J,♠6 | Pair
♠J,♥7,♥8,♣J,♦8 | Two Pairs
♠J,♥7,♥8,♣J,♣4 | Pair
♠J,♥7,♥8,♠10,♦8 | Pair
♠J,♥7,♥8,♥3,♦8 | Pair
♠J,♥7,♥8,♠6,♦8 | Pair
♠J,♥7,♥8,♦8,♣4 | Pair
♠J,♥7,♠Q,♠3,♣J | Pair
♠J,♥7,♠Q,♠3,♥3 | Pair
♠J,♥7,♠Q,♣J,♠10 | Pair
♠J,♥7,♠Q,♣J,♥3 | Pair
♠J,♥7,♠Q,♣J,♠6 | Pair
♠J,♥7,♠Q,♣J,♦8 | Pair
♠J,♥7,♠Q,♣J,♣4 | Pair
♠J,♥7,♠3,♣J,♠10 | Pair
♠J,♥7,♠3,♣J,♥3 | Two Pairs
♠J,♥7,♠3,♣J,♠6 | Pair
♠J,♥7,♠3,♣J,♦8 | Pair
♠J,♥7,♠3,♣J,♣4 | Pair
♠J,♥7,♠3,♠10,♥3 | Pair
♠J,♥7,♠3,♥3,♠6 | Pair
♠J,♥7,♠3,♥3,♦8 | Pair
♠J,♥7,♠3,♥3,♣4 | Pair
♠J,♥7,♣J,♠10,♥3 | Pair
♠J,♥7,♣J,♠10,♠6 | Pair
♠J,♥7,♣J,♠10,♦8 | Pair
♠J,♥7,♣J,♠10,♣4 | Pair
♠J,♥7,♣J,♥3,♠6 | Pair
♠J,♥7,♣J,♥3,♦8 | Pair
♠J,♥7,♣J,♥3,♣4 | Pair
♠J,♥7,♣J,♠6,♦8 | Pair
♠J,♥7,♣J,♠6,♣4 | Pair
♠J,♥7,♣J,♦8,♣4 | Pair
♠J,♣10,♣2,♣Q,♠Q | Pair
♠J,♣10,♣2,♣Q,♣J | Pair
♠J,♣10,♣2,♣Q,♠10 | Pair
♠J,♣10,♣2,♠5,♣J | Pair
♠J,♣10,♣2,♠5,♠10 | Pair
♠J,♣10,♣2,♥8,♣J | Pair
♠J,♣10,♣2,♥8,♠10 | Pair
♠J,♣10,♣2,♥8,♦8 | Pair
♠J,♣10,♣2,♠Q,♣J | Pair
