♦8,♥4,♠4,♦9,♦7 | Pair
♦8,♥4,♠4,♦9,♥7 | Pair
♦8,♥4,♠4,♦9,♣10 | Pair
♦8,♥4,♠4,♦9,♠K | Pair
♦8,♥4,♠4,♦9,♥2 | Pair
♦8,♥4,♠4,♦9,♥K | Pair
♦8,♥4,♠4,♦9,♠2 | Pair
♦8,♥4,♠4,♦9,♦K | Pair
♦8,♥4,♠4,♦7,♥7 | Two Pairs
♦8,♥4,♠4,♦7,♣10 | Pair
♦8,♥4,♠4,♦7,♠K | Pair
♦8,♥4,♠4,♦7,♥2 | Pair
♦8,♥4,♠4,♦7,♥K | Pair
♦8,♥4,♠4,♦7,♠2 | Pair
♦8,♥4,♠4,♦7,♦K | Pair
♦8,♥4,♠4,♥7,♣10 | Pair
♦8,♥4,♠4,♥7,♠K | Pair
♦8,♥4,♠4,♥7,♥2 | Pair
♦8,♥4,♠4,♥7,♥K | Pair
♦8,♥4,♠4,♥7,♠2 | Pair
♦8,♥4,♠4,♥7,♦K | Pair
♦8,♥4,♠4,♣10,♠K | Pair
♦8,♥4,♠4,♣10,♥2 | Pair
♦8,♥4,♠4,♣10,♥K | Pair
♦8,♥4,♠4,♣10,♠2 | Pair
♦8,♥4,♠4,♣10,♦K | Pair
♦8,♥4,♠4,♠K,♥2 | Pair
♦8,♥4,♠4,♠K,♥K | Two Pairs
♦8,♥4,♠4,♠K,♠2 | Pair
♦8,♥4,♠4,♠K,♦K | Two Pairs
♦8,♥4,♠4,♥2,♥K | Pair
♦8,♥4,♠4,♥2,♠2 | Two Pairs
♦8,♥4,♠4,♥2,♦K | Pair
♦8,♥4,♠4,♥K,♠2 | Pair
♦8,♥4,♠4,♥K,♦K | Two Pairs
♦8,♥4,♠4,♠2,♦K | Pair
♦8,♥4,♦9,♦7,♥7 | Pair
♦8,♥4,♦9,♠K,♥K | Pair
♦8,♥4,♦9,♠K,♦K | Pair
♦8,♥4,♦9,♥2,♠2 | Pair
♦8,♥4,♦9,♥K,♦K | Pair
♦8,♥4,♦7,♥7,♣10 | Pair
♦8,♥4,♦7,♥7,♠K | Pair
♦8,♥4,♦7,♥7,♥2 | Pair
♦8,♥4,♦7,♥7,♥K | Pair
♦8,♥4,♦7,♥7,♠2 | Pair
♦8,♥4,♦7,♥7,♦K | Pair
♦8,♥4,♦7,♠K,♥K | Pair
♦8,♥4,♦7,♠K,♦K | Pair
♦8,♥4,♦7,♥2,♠2 | Pair
♦8,♥4,♦7,♥K,♦K | Pair
♦8,♥4,♥7,♠K,♥K | Pair
♦8,♥4,♥7,♠K,♦K | Pair
♦8,♥4,♥7,♥2,♠2 | Pair
♦8,♥4,♥7,♥K,♦K | Pair
♦8,♥4,♣10,♠K,♥K | Pair
♦8,♥4,♣10,♠K,♦K | Pair
♦8,♥4,♣10,♥2,♠2 | Pair
♦8,♥4,♣10,♥K,♦K | Pair
♦8,♥4,♠K,♥2,♥K | Pair
♦8,♥4,♠K,♥2,♠2 | Pair
♦8,♥4,♠K,♥2,♦K | Pair
♦8,♥4,♠K,♥K,♠2 | Pair
♦8,♥4,♠K,♥K,♦K | Three Of A Kind
♦8,♥4,♠K,♠2,♦K | Pair
♦8,♥4,♥2,♥K,♠2 | Pair
♦8,♥4,♥2,♥K,♦K | Pair
♦8,♥4,♥2,♠2,♦K | Pair
♦8,♥4,♥K,♠2,♦K | Pair
♦8,♠4,♦9,♦7,♥7 | Pair
♦8,♠4,♦9,♠K,♥K | Pair
♦8,♠4,♦9,♠K,♦K | Pair
♦8,♠4,♦9,♥2,♠2 | Pair
♦8,♠4,♦9,♥K,♦K | Pair
♦8,♠4,♦7,♥7,♣10 | Pair
♦8,♠4,♦7,♥7,♠K | Pair
♦8,♠4,♦7,♥7,♥2 | Pair
♦8,♠4,♦7,♥7,♥K | Pair
♦8,♠4,♦7,♥7,♠2 | Pair
♦8,♠4,♦7,♥7,♦K | Pair
♦8,♠4,♦7,♠K,♥K | Pair
♦8,♠4,♦7,♠K,♦K | Pair
♦8,♠4,♦7,♥2,♠2 | Pair
♦8,♠4,♦7,♥K,♦K | Pair
♦8,♠4,♥7,♠K,♥K | Pair
♦8,♠4,♥7,♠K,♦K | Pair
♦8,♠4,♥7,♥2,♠2 | Pair
♦8,♠4,♥7,♥K,♦K | Pair
♦8,♠4,♣10,♠K,♥K | Pair
♦8,♠4,♣10,♠K,♦K | Pair
♦8,♠4,♣10,♥2,♠2 | Pair
♦8,♠4,♣10,♥K,♦K | Pair
♦8,♠4,♠K,♥2,♥K | Pair
♦8,♠4,♠K,♥2,♠2 | Pair
♦8,♠4,♠K,♥2,♦K | Pair
♦8,♠4,♠K,♥K,♠2 | Pair
♦8,♠4,♠K,♥K,♦K | Three Of A Kind
♦8,♠4,♠K,♠2,♦K | Pair
♦8,♠4,♥2,♥K,♠2 | Pair
♦8,♠4,♥2,♥K,♦K | Pair
♦8,♠4,♥2,♠2,♦K | Pair
♦8,♠4,♥K,♠2,♦K | Pair
♦8,♦9,♦7,♥7,♣10 | Pair
♦8,♦9,♦7,♥7,♠K | Pair
♦8,♦9,♦7,♥7,♥2 | Pair
♦8,♦9,♦7,♥7,♥K | Pair
♦8,♦9,♦7,♥7,♠2 | Pair
♦8,♦9,♦7,♥7,♦K | Pair
♦8,♦9,♦7,♠K,♥K | Pair
♦8,♦9,♦7,♠K,♦K | Pair
♦8,♦9,♦7,♥2,♠2 | Pair
♦8,♦9,♦7,♥K,♦K | Pair
♦8,♦9,♥7,♠K,♥K | Pair
♦8,♦9,♥7,♠K,♦K | Pair
♦8,♦9,♥7,♥2,♠2 | Pair
♦8,♦9,♥7,♥K,♦K | Pair
♦8,♦9,♣10,♠K,♥K | Pair
♦8,♦9,♣10,♠K,♦K | Pair
♦8,♦9,♣10,♥2,♠2 | Pair
♦8,♦9,♣10,♥K,♦K | Pair
♦8,♦9,♠K,♥2,♥K | Pair
♦8,♦9,♠K,♥2,♠2 | Pair
♦8,♦9,♠K,♥2,♦K | Pair
♦8,♦9,♠K,♥K,♠2 | Pair
♦8,♦9,♠K,♥K,♦K | Three Of A Kind
♦8,♦9,♠K,♠2,♦K | Pair
♦8,♦9,♥2,♥K,♠2 | Pair
♦8,♦9,♥2,♥K,♦K | Pair
♦8,♦9,♥2,♠2,♦K | Pair
♦8,♦9,♥K,♠2,♦K | Pair
♦8,♦7,♥7,♣10,♠K | Pair
♦8,♦7,♥7,♣10,♥2 | Pair
♦8,♦7,♥7,♣10,♥K | Pair
♦8,♦7,♥7,♣10,♠2 | Pair
♦8,♦7,♥7,♣10,♦K | Pair
♦8,♦7,♥7,♠K,♥2 | Pair
♦8,♦7,♥7,♠K,♥K | Two Pairs
♦8,♦7,♥7,♠K,♠2 | Pair
♦8,♦7,♥7,♠K,♦K | Two Pairs
♦8,♦7,♥7,♥2,♥K | Pair
♦8,♦7,♥7,♥2,♠2 | Two Pairs
♦8,♦7,♥7,♥2,♦K | Pair
♦8,♦7,♥7,♥K,♠2 | Pair
♦8,♦7,♥7,♥K,♦K | Two Pairs
♦8,♦7,♥7,♠2,♦K | Pair
♦8,♦7,♣10,♠K,♥K | Pair
♦8,♦7,♣10,♠K,♦K | Pair
♦8,♦7,♣10,♥2,♠2 | Pair
♦8,♦7,♣10,♥K,♦K | Pair
♦8,♦7,♠K,♥2,♥K | Pair
♦8,♦7,♠K,♥2,♠2 | Pair
♦8,♦7,♠K,♥2,♦K | Pair
♦8,♦7,♠K,♥K,♠2 | Pair
♦8,♦7,♠K,♥K,♦K | Three Of A Kind
♦8,♦7,♠K,♠2,♦K | Pair
♦8,♦7,♥2,♥K,♠2 | Pair
♦8,♦7,♥2,♥K,♦K | Pair
♦8,♦7,♥2,♠2,♦K | Pair
♦8,♦7,♥K,♠2,♦K | Pair
♦8,♥7,♣10,♠K,♥K | Pair
♦8,♥7,♣10,♠K,♦K | Pair
♦8,♥7,♣10,♥2,♠2 | Pair
♦8,♥7,♣10,♥K,♦K | Pair
♦8,♥7,♠K,♥2,♥K | Pair
♦8,♥7,♠K,♥2,♠2 | Pair
♦8,♥7,♠K,♥2,♦K | Pair
♦8,♥7,♠K,♥K,♠2 | Pair
♦8,♥7,♠K,♥K,♦K | Three Of A Kind
♦8,♥7,♠K,♠2,♦K | Pair
♦8,♥7,♥2,♥K,♠2 | Pair
♦8,♥7,♥2,♥K,♦K | Pair
♦8,♥7,♥2,♠2,♦K | Pair
♦8,♥7,♥K,♠2,♦K | Pair
♦8,♣10,♠K,♥2,♥K | Pair
♦8,♣10,♠K,♥2,♠2 | Pair
♦8,♣10,♠K,♥2,♦K | Pair
♦8,♣10,♠K,♥K,♠2 | Pair
♦8,♣10,♠K,♥K,♦K | Three Of A Kind
♦8,♣10,♠K,♠2,♦K | Pair
♦8,♣10,♥2,♥K,♠2 | Pair
♦8,♣10,♥2,♥K,♦K | Pair
♦8,♣10,♥2,♠2,♦K | Pair
♦8,♣10,♥K,♠2,♦K | Pair
♦8,♠K,♥2,♥K,♠2 | Two Pairs
♦8,♠K,♥2,♥K,♦K | Three Of A Kind
♦8,♠K,♥2,♠2,♦K | Two Pairs
♦8,♠K,♥K,♠2,♦K | Three Of A Kind
♦8,♥2,♥K,♠2,♦K | Two Pairs
♥4,♠4,♦9,♦7,♥7 | Two Pairs
♥4,♠4,♦9,♦7,♣10 | Pair
♥4,♠4,♦9,♦7,♠K | Pair
♥4,♠4,♦9,♦7,♥2 | Pair
♥4,♠4,♦9,♦7,♥K | Pair
♥4,♠4,♦9,♦7,♠2 | Pair
♥4,♠4,♦9,♦7,♦K | Pair
♥4,♠4,♦9,♥7,♣10 | Pair
♥4,♠4,♦9,♥7,♠K | Pair
♥4,♠4,♦9,♥7,♥2 | Pair
♥4,♠4,♦9,♥7,♥K | Pair
♥4,♠4,♦9,♥7,♠2 | Pair
♥4,♠4,♦9,♥7,♦K | Pair
♥4,♠4,♦9,♣10,♠K | Pair
♥4,♠4,♦9,♣10,♥2 | Pair
♥4,♠4,♦9,♣10,♥K | Pair
♥4,♠4,♦9,♣10,♠2 | Pair
♥4,♠4,♦9,♣10,♦K | Pair
♥4,♠4,♦9,♠K,♥2 | Pair
♥4,♠4,♦9,♠K,♥K | Two Pairs
♥4,♠4,♦9,♠K,♠2 | Pair
♥4,♠4,♦9,♠K,♦K | Two Pairs
♥4,♠4,♦9,♥2,♥K | Pair
♥4,♠4,♦9,♥2,♠2 | Two Pairs
♥4,♠4,♦9,♥2,♦K | Pair
♥4,♠4,♦9,♥K,♠2 | Pair
♥4,♠4,♦9,♥K,♦K | Two Pairs
♥4,♠4,♦9,♠2,♦K | Pair
♥4,♠4,♦7,♥7,♣10 | Two Pairs
♥4,♠4,♦7,♥7,♠K | Two Pairs
♥4,♠4,♦7,♥7,♥2 | Two Pairs
♥4,♠4,♦7,♥7,♥K | Two Pairs
♥4,♠4,♦7,♥7,♠2 | Two Pairs
♥4,♠4,♦7,♥7,♦K | Two Pairs
♥4,♠4,♦7,♣10,♠K | Pair
♥4,♠4,♦7,♣10,♥2 | Pair
♥4,♠4,♦7,♣10,♥K | Pair
♥4,♠4,♦7,♣10,♠2 | Pair
♥4,♠4,♦7,♣10,♦K | Pair
♥4,♠4,♦7,♠K,♥2 | Pair
♥4,♠4,♦7,♠K,♥K | Two Pairs
♥4,♠4,♦7,♠K,♠2 | Pair
♥4,♠4,♦7,♠K,♦K | Two Pairs
♥4,♠4,♦7,♥2,♥K | Pair
♥4,♠4,♦7,♥2,♠2 | Two Pairs
♥4,♠4,♦7,♥2,♦K | Pair
♥4,♠4,♦7,♥K,♠2 | Pair
♥4,♠4,♦7,♥K,♦K | Two Pairs
♥4,♠4,♦7,♠2,♦K | Pair
♥4,♠4,♥7,♣10,♠K | Pair
♥4,♠4,♥7,♣10,♥2 | Pair
♥4,♠4,♥7,♣10,♥K | Pair
♥4,♠4,♥7,♣10,♠2 | Pair
♥4,♠4,♥7,♣10,♦K | Pair
♥4,♠4,♥7,♠K,♥2 | Pair
♥4,♠4,♥7,♠K,♥K | Two Pairs
♥4,♠4,♥7,♠K,♠2 | Pair
♥4,♠4,♥7,♠K,♦K | Two Pairs
♥4,♠4,♥7,♥2,♥K | Pair
♥4,♠4,♥7,♥2,♠2 | Two Pairs
♥4,♠4,♥7,♥2,♦K | Pair
♥4,♠4,♥7,♥K,♠2 | Pair
♥4,♠4,♥7,♥K,♦K | Two Pairs
♥4,♠4,♥7,♠2,♦K | Pair
♥4,♠4,♣10,♠K,♥2 | Pair
♥4,♠4,♣10,♠K,♥K | Two Pairs
♥4,♠4,♣10,♠K,♠2 | Pair
♥4,♠4,♣10,♠K,♦K | Two Pairs
♥4,♠4,♣10,♥2,♥K | Pair
♥4,♠4,♣10,♥2,♠2 | Two Pairs
♥4,♠4,♣10,♥2,♦K | Pair
♥4,♠4,♣10,♥K,♠2 | Pair
♥4,♠4,♣10,♥K,♦K | Two Pairs
♥4,♠4,♣10,♠2,♦K | Pair
♥4,♠4,♠K,♥2,♥K | Two Pairs
♥4,♠4,♠K,♥2,♠2 | Two Pairs
♥4,♠4,♠K,♥2,♦K | Two Pairs
♥4,♠4,♠K,♥K,♠2 | Two Pairs
♥4,♠4,♠K,♥K,♦K | Full House
♥4,♠4,♠K,♠2,♦K | Two Pairs
♥4,♠4,♥2,♥K,♠2 | Two Pairs
♥4,♠4,♥2,♥K,♦K | Two Pairs
♥4,♠4,♥2,♠2,♦K | Two Pairs
♥4,♠4,♥K,♠2,♦K | Two Pairs
♥4,♦9,♦7,♥7,♣10 | Pair
♥4,♦9,♦7,♥7,♠K | Pair
♥4,♦9,♦7,♥7,♥2 | Pair
♥4,♦9,♦7,♥7,♥K | Pair
♥4,♦9,♦7,♥7,♠2 | Pair
♥4,♦9,♦7,♥7,♦K | Pair
♥4,♦9,♦7,♠K,♥K | Pair
♥4,♦9,♦7,♠K,♦K | Pair
♥4,♦9,♦7,♥2,♠2 | Pair
♥4,♦9,♦7,♥K,♦K | Pair
♥4,♦9,♥7,♠K,♥K | Pair
♥4,♦9,♥7,♠K,♦K | Pair
♥4,♦9,♥7,♥2,♠2 | Pair
♥4,♦9,♥7,♥K,♦K | Pair
♥4,♦9,♣10,♠K,♥K | Pair
♥4,♦9,♣10,♠K,♦K | Pair
♥4,♦9,♣10,♥2,♠2 | Pair
♥4,♦9,♣10,♥K,♦K | Pair
♥4,♦9,♠K,♥2,♥K | Pair
♥4,♦9,♠K,♥2,♠2 | Pair
♥4,♦9,♠K,♥2,♦K | Pair
♥4,♦9,♠K,♥K,♠2 | Pair
♥4,♦9,♠K,♥K,♦K | Three Of A Kind
♥4,♦9,♠K,♠2,♦K | Pair
♥4,♦9,♥2,♥K,♠2 | Pair
♥4,♦9,♥2,♥K,♦K | Pair
♥4,♦9,♥2,♠2,♦K | Pair
♥4,♦9,♥K,♠2,♦K | Pair
♥4,♦7,♥7,♣10,♠K | Pair
♥4,♦7,♥7,♣10,♥2 | Pair
♥4,♦7,♥7,♣10,♥K | Pair
♥4,♦7,♥7,♣10,♠2 | Pair
♥4,♦7,♥7,♣10,♦K | Pair
♥4,♦7,♥7,♠K,♥2 | Pair
♥4,♦7,♥7,♠K,♥K | Two Pairs
♥4,♦7,♥7,♠K,♠2 | Pair
♥4,♦7,♥7,♠K,♦K | Two Pairs
♥4,♦7,♥7,♥2,♥K | Pair
♥4,♦7,♥7,♥2,♠2 | Two Pairs
♥4,♦7,♥7,♥2,♦K | Pair
♥4,♦7,♥7,♥K,♠2 | Pair
