♠J,♥4,♣4,♣3,♣10 | Pair
♠J,♥4,♣4,♣3,♥A | Pair
♠J,♥4,♣4,♣3,♣9 | Pair
♠J,♥4,♣4,♣3,♠4 | Three Of A Kind
♠J,♥4,♣4,♣3,♦8 | Pair
♠J,♥4,♣4,♣3,♥6 | Pair
♠J,♥4,♣4,♣3,♣2 | Pair
♠J,♥4,♣4,♣3,♠7 | Pair
♠J,♥4,♣4,♣3,♣A | Pair
♠J,♥4,♣4,♣10,♥A | Pair
♠J,♥4,♣4,♣10,♣9 | Pair
♠J,♥4,♣4,♣10,♠4 | Three Of A Kind
♠J,♥4,♣4,♣10,♦8 | Pair
♠J,♥4,♣4,♣10,♥6 | Pair
♠J,♥4,♣4,♣10,♣2 | Pair
♠J,♥4,♣4,♣10,♠7 | Pair
♠J,♥4,♣4,♣10,♣A | Pair
♠J,♥4,♣4,♥A,♣9 | Pair
♠J,♥4,♣4,♥A,♠4 | Three Of A Kind
♠J,♥4,♣4,♥A,♦8 | Pair
♠J,♥4,♣4,♥A,♥6 | Pair
♠J,♥4,♣4,♥A,♣2 | Pair
♠J,♥4,♣4,♥A,♠7 | Pair
♠J,♥4,♣4,♥A,♣A | Two Pairs
♠J,♥4,♣4,♣9,♠4 | Three Of A Kind
♠J,♥4,♣4,♣9,♦8 | Pair
♠J,♥4,♣4,♣9,♥6 | Pair
♠J,♥4,♣4,♣9,♣2 | Pair
♠J,♥4,♣4,♣9,♠7 | Pair
♠J,♥4,♣4,♣9,♣A | Pair
♠J,♥4,♣4,♠4,♦8 | Three Of A Kind
♠J,♥4,♣4,♠4,♥6 | Three Of A Kind
♠J,♥4,♣4,♠4,♣2 | Three Of A Kind
♠J,♥4,♣4,♠4,♠7 | Three Of A Kind
♠J,♥4,♣4,♠4,♣A | Three Of A Kind
♠J,♥4,♣4,♦8,♥6 | Pair
♠J,♥4,♣4,♦8,♣2 | Pair
♠J,♥4,♣4,♦8,♠7 | Pair
♠J,♥4,♣4,♦8,♣A | Pair
♠J,♥4,♣4,♥6,♣2 | Pair
♠J,♥4,♣4,♥6,♠7 | Pair
♠J,♥4,♣4,♥6,♣A | Pair
♠J,♥4,♣4,♣2,♠7 | Pair
♠J,♥4,♣4,♣2,♣A | Pair
♠J,♥4,♣4,♠7,♣A | Pair
♠J,♥4,♣3,♣10,♠4 | Pair
♠J,♥4,♣3,♥A,♠4 | Pair
♠J,♥4,♣3,♥A,♣A | Pair
♠J,♥4,♣3,♣9,♠4 | Pair
♠J,♥4,♣3,♠4,♦8 | Pair
♠J,♥4,♣3,♠4,♥6 | Pair
♠J,♥4,♣3,♠4,♣2 | Pair
♠J,♥4,♣3,♠4,♠7 | Pair
♠J,♥4,♣3,♠4,♣A | Pair
♠J,♥4,♣10,♥A,♠4 | Pair
♠J,♥4,♣10,♥A,♣A | Pair
♠J,♥4,♣10,♣9,♠4 | Pair
♠J,♥4,♣10,♠4,♦8 | Pair
♠J,♥4,♣10,♠4,♥6 | Pair
♠J,♥4,♣10,♠4,♣2 | Pair
♠J,♥4,♣10,♠4,♠7 | Pair
♠J,♥4,♣10,♠4,♣A | Pair
♠J,♥4,♥A,♣9,♠4 | Pair
♠J,♥4,♥A,♣9,♣A | Pair
♠J,♥4,♥A,♠4,♦8 | Pair
♠J,♥4,♥A,♠4,♥6 | Pair
♠J,♥4,♥A,♠4,♣2 | Pair
♠J,♥4,♥A,♠4,♠7 | Pair
♠J,♥4,♥A,♠4,♣A | Two Pairs
♠J,♥4,♥A,♦8,♣A | Pair
♠J,♥4,♥A,♥6,♣A | Pair
♠J,♥4,♥A,♣2,♣A | Pair
♠J,♥4,♥A,♠7,♣A | Pair
♠J,♥4,♣9,♠4,♦8 | Pair
♠J,♥4,♣9,♠4,♥6 | Pair
♠J,♥4,♣9,♠4,♣2 | Pair
