♠10,♠7,♠8,♣8,♥6 | Pair
♠10,♠7,♠8,♣8,♥4 | Pair
♠10,♠7,♠8,♣8,♦5 | Pair
♠10,♠7,♠8,♣8,♦6 | Pair
♠10,♠7,♠8,♣8,♣5 | Pair
♠10,♠7,♠8,♣8,♦2 | Pair
♠10,♠7,♠8,♥6,♦6 | Pair
♠10,♠7,♠8,♦5,♣5 | Pair
♠10,♠7,♣8,♥6,♦6 | Pair
♠10,♠7,♣8,♦5,♣5 | Pair
♠10,♠7,♥6,♥4,♦6 | Pair
♠10,♠7,♥6,♦5,♦6 | Pair
♠10,♠7,♥6,♦5,♣5 | Pair
♠10,♠7,♥6,♦6,♣5 | Pair
♠10,♠7,♥6,♦6,♦2 | Pair
♠10,♠7,♥4,♦5,♣5 | Pair
♠10,♠7,♦5,♦6,♣5 | Pair
♠10,♠7,♦5,♣5,♦2 | Pair
♠10,♠8,♣8,♥6,♥4 | Pair
♠10,♠8,♣8,♥6,♦5 | Pair
♠10,♠8,♣8,♥6,♦6 | Two Pairs
♠10,♠8,♣8,♥6,♣5 | Pair
♠10,♠8,♣8,♥6,♦2 | Pair
♠10,♠8,♣8,♥4,♦5 | Pair
♠10,♠8,♣8,♥4,♦6 | Pair
♠10,♠8,♣8,♥4,♣5 | Pair
♠10,♠8,♣8,♥4,♦2 | Pair
♠10,♠8,♣8,♦5,♦6 | Pair
♠10,♠8,♣8,♦5,♣5 | Two Pairs
♠10,♠8,♣8,♦5,♦2 | Pair
♠10,♠8,♣8,♦6,♣5 | Pair
♠10,♠8,♣8,♦6,♦2 | Pair
♠10,♠8,♣8,♣5,♦2 | Pair
♠10,♠8,♥6,♥4,♦6 | Pair
♠10,♠8,♥6,♦5,♦6 | Pair
♠10,♠8,♥6,♦5,♣5 | Pair
♠10,♠8,♥6,♦6,♣5 | Pair
♠10,♠8,♥6,♦6,♦2 | Pair
♠10,♠8,♥4,♦5,♣5 | Pair
♠10,♠8,♦5,♦6,♣5 | Pair
♠10,♠8,♦5,♣5,♦2 | Pair
♠10,♣8,♥6,♥4,♦6 | Pair
♠10,♣8,♥6,♦5,♦6 | Pair
♠10,♣8,♥6,♦5,♣5 | Pair
♠10,♣8,♥6,♦6,♣5 | Pair
♠10,♣8,♥6,♦6,♦2 | Pair
♠10,♣8,♥4,♦5,♣5 | Pair
♠10,♣8,♦5,♦6,♣5 | Pair
♠10,♣8,♦5,♣5,♦2 | Pair
♠10,♥6,♥4,♦5,♦6 | Pair
♠10,♥6,♥4,♦5,♣5 | Pair
♠10,♥6,♥4,♦6,♣5 | Pair
♠10,♥6,♥4,♦6,♦2 | Pair
♠10,♥6,♦5,♦6,♣5 | Two Pairs
♠10,♥6,♦5,♦6,♦2 | Pair
♠10,♥6,♦5,♣5,♦2 | Pair
♠10,♥6,♦6,♣5,♦2 | Pair
♠10,♥4,♦5,♦6,♣5 | Pair
♠10,♥4,♦5,♣5,♦2 | Pair
♠10,♦5,♦6,♣5,♦2 | Pair
♠7,♠8,♣8,♥6,♥4 | Pair
♠7,♠8,♣8,♥6,♦5 | Pair
♠7,♠8,♣8,♥6,♦6 | Two Pairs
♠7,♠8,♣8,♥6,♣5 | Pair
♠7,♠8,♣8,♥6,♦2 | Pair
♠7,♠8,♣8,♥4,♦5 | Pair
♠7,♠8,♣8,♥4,♦6 | Pair
♠7,♠8,♣8,♥4,♣5 | Pair
♠7,♠8,♣8,♥4,♦2 | Pair
♠7,♠8,♣8,♦5,♦6 | Pair
♠7,♠8,♣8,♦5,♣5 | Two Pairs
