♦7,♣Q,♠J,♣3,♥3 | Pair
♦7,♣Q,♠J,♣3,♥J | Pair
♦7,♣Q,♠J,♥K,♠K | Pair
♦7,♣Q,♠J,♥K,♥J | Pair
♦7,♣Q,♠J,♥3,♥J | Pair
♦7,♣Q,♠J,♠10,♥J | Pair
♦7,♣Q,♠J,♠K,♥J | Pair
♦7,♣Q,♠J,♣A,♥J | Pair
♦7,♣Q,♠J,♥J,♦4 | Pair
♦7,♣Q,♠J,♥J,♥4 | Pair
♦7,♣Q,♠J,♥J,♥8 | Pair
♦7,♣Q,♠J,♦4,♥4 | Pair
♦7,♣Q,♣3,♥K,♥3 | Pair
♦7,♣Q,♣3,♥K,♠K | Pair
♦7,♣Q,♣3,♥3,♠10 | Pair
♦7,♣Q,♣3,♥3,♠K | Pair
♦7,♣Q,♣3,♥3,♣A | Pair
♦7,♣Q,♣3,♥3,♥J | Pair
♦7,♣Q,♣3,♥3,♦4 | Pair
♦7,♣Q,♣3,♥3,♥4 | Pair
♦7,♣Q,♣3,♥3,♥8 | Pair
♦7,♣Q,♣3,♦4,♥4 | Pair
♦7,♣Q,♥K,♥3,♠K | Pair
♦7,♣Q,♥K,♠10,♠K | Pair
♦7,♣Q,♥K,♠K,♣A | Pair
♦7,♣Q,♥K,♠K,♥J | Pair
♦7,♣Q,♥K,♠K,♦4 | Pair
♦7,♣Q,♥K,♠K,♥4 | Pair
♦7,♣Q,♥K,♠K,♥8 | Pair
♦7,♣Q,♥K,♦4,♥4 | Pair
♦7,♣Q,♥3,♦4,♥4 | Pair
♦7,♣Q,♠10,♦4,♥4 | Pair
♦7,♣Q,♠K,♦4,♥4 | Pair
♦7,♣Q,♣A,♦4,♥4 | Pair
♦7,♣Q,♥J,♦4,♥4 | Pair
♦7,♣Q,♦4,♥4,♥8 | Pair
♦7,♠J,♣3,♥K,♥3 | Pair
♦7,♠J,♣3,♥K,♠K | Pair
♦7,♠J,♣3,♥K,♥J | Pair
♦7,♠J,♣3,♥3,♠10 | Pair
♦7,♠J,♣3,♥3,♠K | Pair
♦7,♠J,♣3,♥3,♣A | Pair
♦7,♠J,♣3,♥3,♥J | Two Pairs
♦7,♠J,♣3,♥3,♦4 | Pair
♦7,♠J,♣3,♥3,♥4 | Pair
♦7,♠J,♣3,♥3,♥8 | Pair
♦7,♠J,♣3,♠10,♥J | Pair
♦7,♠J,♣3,♠K,♥J | Pair
♦7,♠J,♣3,♣A,♥J | Pair
♦7,♠J,♣3,♥J,♦4 | Pair
♦7,♠J,♣3,♥J,♥4 | Pair
♦7,♠J,♣3,♥J,♥8 | Pair
♦7,♠J,♣3,♦4,♥4 | Pair
♦7,♠J,♥K,♥3,♠K | Pair
♦7,♠J,♥K,♥3,♥J | Pair
♦7,♠J,♥K,♠10,♠K | Pair
♦7,♠J,♥K,♠10,♥J | Pair
♦7,♠J,♥K,♠K,♣A | Pair
♦7,♠J,♥K,♠K,♥J | Two Pairs
♦7,♠J,♥K,♠K,♦4 | Pair
♦7,♠J,♥K,♠K,♥4 | Pair
♦7,♠J,♥K,♠K,♥8 | Pair
♦7,♠J,♥K,♣A,♥J | Pair
♦7,♠J,♥K,♥J,♦4 | Pair
♦7,♠J,♥K,♥J,♥4 | Pair
♦7,♠J,♥K,♥J,♥8 | Pair
♦7,♠J,♥K,♦4,♥4 | Pair
♦7,♠J,♥3,♠10,♥J | Pair
♦7,♠J,♥3,♠K,♥J | Pair
♦7,♠J,♥3,♣A,♥J | Pair
♦7,♠J,♥3,♥J,♦4 | Pair
♦7,♠J,♥3,♥J,♥4 | Pair
♦7,♠J,♥3,♥J,♥8 | Pair
♦7,♠J,♥3,♦4,♥4 | Pair
♦7,♠J,♠10,♠K,♥J | Pair
♦7,♠J,♠10,♣A,♥J | Pair
♦7,♠J,♠10,♥J,♦4 | Pair
♦7,♠J,♠10,♥J,♥4 | Pair
♦7,♠J,♠10,♥J,♥8 | Pair
♦7,♠J,♠10,♦4,♥4 | Pair
♦7,♠J,♠K,♣A,♥J | Pair
♦7,♠J,♠K,♥J,♦4 | Pair
♦7,♠J,♠K,♥J,♥4 | Pair
♦7,♠J,♠K,♥J,♥8 | Pair
♦7,♠J,♠K,♦4,♥4 | Pair
♦7,♠J,♣A,♥J,♦4 | Pair
♦7,♠J,♣A,♥J,♥4 | Pair
♦7,♠J,♣A,♥J,♥8 | Pair
♦7,♠J,♣A,♦4,♥4 | Pair
♦7,♠J,♥J,♦4,♥4 | Two Pairs
♦7,♠J,♥J,♦4,♥8 | Pair
♦7,♠J,♥J,♥4,♥8 | Pair
♦7,♠J,♦4,♥4,♥8 | Pair
♦7,♣3,♥K,♥3,♠10 | Pair
♦7,♣3,♥K,♥3,♠K | Two Pairs
♦7,♣3,♥K,♥3,♣A | Pair
♦7,♣3,♥K,♥3,♥J | Pair
♦7,♣3,♥K,♥3,♦4 | Pair
♦7,♣3,♥K,♥3,♥4 | Pair
♦7,♣3,♥K,♥3,♥8 | Pair
♦7,♣3,♥K,♠10,♠K | Pair
♦7,♣3,♥K,♠K,♣A | Pair
♦7,♣3,♥K,♠K,♥J | Pair
♦7,♣3,♥K,♠K,♦4 | Pair
♦7,♣3,♥K,♠K,♥4 | Pair
♦7,♣3,♥K,♠K,♥8 | Pair
♦7,♣3,♥K,♦4,♥4 | Pair
♦7,♣3,♥3,♠10,♠K | Pair
♦7,♣3,♥3,♠10,♣A | Pair
♦7,♣3,♥3,♠10,♥J | Pair
♦7,♣3,♥3,♠10,♦4 | Pair
♦7,♣3,♥3,♠10,♥4 | Pair
♦7,♣3,♥3,♠10,♥8 | Pair
♦7,♣3,♥3,♠K,♣A | Pair
♦7,♣3,♥3,♠K,♥J | Pair
♦7,♣3,♥3,♠K,♦4 | Pair
♦7,♣3,♥3,♠K,♥4 | Pair
♦7,♣3,♥3,♠K,♥8 | Pair
♦7,♣3,♥3,♣A,♥J | Pair
♦7,♣3,♥3,♣A,♦4 | Pair
♦7,♣3,♥3,♣A,♥4 | Pair
♦7,♣3,♥3,♣A,♥8 | Pair
♦7,♣3,♥3,♥J,♦4 | Pair
♦7,♣3,♥3,♥J,♥4 | Pair
♦7,♣3,♥3,♥J,♥8 | Pair
♦7,♣3,♥3,♦4,♥4 | Two Pairs
