♦Q,♣5,♠A,♦8,♠Q | Pair
♦Q,♣5,♠A,♦8,♥8 | Pair
♦Q,♣5,♠A,♣K,♠Q | Pair
♦Q,♣5,♠A,♣10,♠Q | Pair
♦Q,♣5,♠A,♣10,♥10 | Pair
♦Q,♣5,♠A,♠Q,♣6 | Pair
♦Q,♣5,♠A,♠Q,♦7 | Pair
♦Q,♣5,♠A,♠Q,♦3 | Pair
♦Q,♣5,♠A,♠Q,♥8 | Pair
♦Q,♣5,♠A,♠Q,♥10 | Pair
♦Q,♣5,♠A,♠Q,♥9 | Pair
♦Q,♣5,♦8,♣K,♠Q | Pair
♦Q,♣5,♦8,♣K,♥8 | Pair
♦Q,♣5,♦8,♣10,♠Q | Pair
♦Q,♣5,♦8,♣10,♥8 | Pair
♦Q,♣5,♦8,♣10,♥10 | Pair
♦Q,♣5,♦8,♠Q,♣6 | Pair
♦Q,♣5,♦8,♠Q,♦7 | Pair
♦Q,♣5,♦8,♠Q,♦3 | Pair
♦Q,♣5,♦8,♠Q,♥8 | Two Pairs
♦Q,♣5,♦8,♠Q,♥10 | Pair
♦Q,♣5,♦8,♠Q,♥9 | Pair
♦Q,♣5,♦8,♣6,♥8 | Pair
♦Q,♣5,♦8,♦7,♥8 | Pair
♦Q,♣5,♦8,♦3,♥8 | Pair
♦Q,♣5,♦8,♥8,♥10 | Pair
♦Q,♣5,♦8,♥8,♥9 | Pair
♦Q,♣5,♣K,♣10,♠Q | Pair
♦Q,♣5,♣K,♣10,♥10 | Pair
♦Q,♣5,♣K,♠Q,♣6 | Pair
♦Q,♣5,♣K,♠Q,♦7 | Pair
♦Q,♣5,♣K,♠Q,♦3 | Pair
♦Q,♣5,♣K,♠Q,♥8 | Pair
♦Q,♣5,♣K,♠Q,♥10 | Pair
♦Q,♣5,♣K,♠Q,♥9 | Pair
♦Q,♣5,♣10,♠Q,♣6 | Pair
♦Q,♣5,♣10,♠Q,♦7 | Pair
