♠A,♥J,♣10,♣4,♥10 | Pair
♠A,♥J,♣10,♥5,♥10 | Pair
♠A,♥J,♣10,♥7,♥10 | Pair
♠A,♥J,♣10,♠9,♥10 | Pair
♠A,♥J,♣10,♥Q,♥10 | Pair
♠A,♣10,♣4,♥5,♥10 | Pair
♠A,♣10,♣4,♥7,♥10 | Pair
♠A,♣10,♣4,♠9,♥10 | Pair
♠A,♣10,♣4,♥Q,♥10 | Pair
♠A,♣10,♥5,♥7,♥10 | Pair
♠A,♣10,♥5,♠9,♥10 | Pair
♠A,♣10,♥5,♥Q,♥10 | Pair
♠A,♣10,♥7,♠9,♥10 | Pair
♠A,♣10,♥7,♥Q,♥10 | Pair
♠A,♣10,♠9,♥Q,♥10 | Pair
♥J,♣10,♣4,♥5,♥10 | Pair
♥J,♣10,♣4,♥7,♥10 | Pair
♥J,♣10,♣4,♠9,♥10 | Pair
♥J,♣10,♣4,♥Q,♥10 | Pair
♥J,♣10,♥5,♥7,♥10 | Pair
♥J,♣10,♥5,♠9,♥10 | Pair
♥J,♣10,♥5,♥Q,♥10 | Pair
♥J,♣10,♥7,♠9,♥10 | Pair
♥J,♣10,♥7,♥Q,♥10 | Pair
♥J,♣10,♠9,♥Q,♥10 | Pair
♥J,♥5,♥7,♥Q,♥10 | Flush
♣10,♣4,♥5,♥7,♥10 | Pair
♣10,♣4,♥5,♠9,♥10 | Pair
♣10,♣4,♥5,♥Q,♥10 | Pair
♣10,♣4,♥7,♠9,♥10 | Pair
♣10,♣4,♥7,♥Q,♥10 | Pair
♣10,♣4,♠9,♥Q,♥10 | Pair
♣10,♥5,♥7,♠9,♥10 | Pair
♣10,♥5,♥7,♥Q,♥10 | Pair
♣10,♥5,♠9,♥Q,♥10 | Pair
♣10,♥7,♠9,♥Q,♥10 | Pair
