♥3,♠8,♦J,♥7,♦7 | Pair
♥3,♠8,♦J,♠K,♦K | Pair
♥3,♠8,♥6,♥7,♦7 | Pair
♥3,♠8,♥6,♠K,♦K | Pair
♥3,♠8,♥7,♥4,♦7 | Pair
♥3,♠8,♥7,♥Q,♦7 | Pair
♥3,♠8,♥7,♠K,♦7 | Pair
♥3,♠8,♥7,♠K,♦K | Pair
♥3,♠8,♥7,♦7,♦K | Pair
♥3,♠8,♥4,♠K,♦K | Pair
♥3,♠8,♥Q,♠K,♦K | Pair
♥3,♠8,♠K,♦7,♦K | Pair
♥3,♦J,♥6,♥7,♦7 | Pair
♥3,♦J,♥6,♠K,♦K | Pair
♥3,♦J,♥7,♥4,♦7 | Pair
♥3,♦J,♥7,♥Q,♦7 | Pair
♥3,♦J,♥7,♠K,♦7 | Pair
♥3,♦J,♥7,♠K,♦K | Pair
♥3,♦J,♥7,♦7,♦K | Pair
♥3,♦J,♥4,♠K,♦K | Pair
♥3,♦J,♥Q,♠K,♦K | Pair
♥3,♦J,♠K,♦7,♦K | Pair
♥3,♥6,♥7,♥4,♥Q | Flush
♥3,♥6,♥7,♥4,♦7 | Pair
♥3,♥6,♥7,♥Q,♦7 | Pair
♥3,♥6,♥7,♠K,♦7 | Pair
♥3,♥6,♥7,♠K,♦K | Pair
♥3,♥6,♥7,♦7,♦K | Pair
♥3,♥6,♥4,♠K,♦K | Pair
♥3,♥6,♥Q,♠K,♦K | Pair
♥3,♥6,♠K,♦7,♦K | Pair
♥3,♥7,♥4,♥Q,♦7 | Pair
♥3,♥7,♥4,♠K,♦7 | Pair
♥3,♥7,♥4,♠K,♦K | Pair
♥3,♥7,♥4,♦7,♦K | Pair
♥3,♥7,♥Q,♠K,♦7 | Pair
♥3,♥7,♥Q,♠K,♦K | Pair
♥3,♥7,♥Q,♦7,♦K | Pair
♥3,♥7,♠K,♦7,♦K | Two Pairs
♥3,♥4,♥Q,♠K,♦K | Pair
♥3,♥4,♠K,♦7,♦K | Pair
♥3,♥Q,♠K,♦7,♦K | Pair
♠8,♦J,♥6,♥7,♦7 | Pair
♠8,♦J,♥6,♠K,♦K | Pair
♠8,♦J,♥7,♥4,♦7 | Pair
♠8,♦J,♥7,♥Q,♦7 | Pair
♠8,♦J,♥7,♠K,♦7 | Pair
♠8,♦J,♥7,♠K,♦K | Pair
♠8,♦J,♥7,♦7,♦K | Pair
♠8,♦J,♥4,♠K,♦K | Pair
♠8,♦J,♥Q,♠K,♦K | Pair
♠8,♦J,♠K,♦7,♦K | Pair
♠8,♥6,♥7,♥4,♦7 | Pair
♠8,♥6,♥7,♥Q,♦7 | Pair
♠8,♥6,♥7,♠K,♦7 | Pair
♠8,♥6,♥7,♠K,♦K | Pair
♠8,♥6,♥7,♦7,♦K | Pair
♠8,♥6,♥4,♠K,♦K | Pair
♠8,♥6,♥Q,♠K,♦K | Pair
♠8,♥6,♠K,♦7,♦K | Pair
♠8,♥7,♥4,♥Q,♦7 | Pair
♠8,♥7,♥4,♠K,♦7 | Pair
♠8,♥7,♥4,♠K,♦K | Pair
♠8,♥7,♥4,♦7,♦K | Pair
♠8,♥7,♥Q,♠K,♦7 | Pair
♠8,♥7,♥Q,♠K,♦K | Pair
♠8,♥7,♥Q,♦7,♦K | Pair
♠8,♥7,♠K,♦7,♦K | Two Pairs
♠8,♥4,♥Q,♠K,♦K | Pair
♠8,♥4,♠K,♦7,♦K | Pair
♠8,♥Q,♠K,♦7,♦K | Pair
♦J,♥6,♥7,♥4,♦7 | Pair
♦J,♥6,♥7,♥Q,♦7 | Pair
♦J,♥6,♥7,♠K,♦7 | Pair
♦J,♥6,♥7,♠K,♦K | Pair
♦J,♥6,♥7,♦7,♦K | Pair
♦J,♥6,♥4,♠K,♦K | Pair
♦J,♥6,♥Q,♠K,♦K | Pair
♦J,♥6,♠K,♦7,♦K | Pair
♦J,♥7,♥4,♥Q,♦7 | Pair
♦J,♥7,♥4,♠K,♦7 | Pair
♦J,♥7,♥4,♠K,♦K | Pair
♦J,♥7,♥4,♦7,♦K | Pair
♦J,♥7,♥Q,♠K,♦7 | Pair
♦J,♥7,♥Q,♠K,♦K | Pair
♦J,♥7,♥Q,♦7,♦K | Pair
♦J,♥7,♠K,♦7,♦K | Two Pairs
♦J,♥4,♥Q,♠K,♦K | Pair
♦J,♥4,♠K,♦7,♦K | Pair
♦J,♥Q,♠K,♦7,♦K | Pair
♥6,♥7,♥4,♥Q,♦7 | Pair
♥6,♥7,♥4,♠K,♦7 | Pair
♥6,♥7,♥4,♠K,♦K | Pair
♥6,♥7,♥4,♦7,♦K | Pair
♥6,♥7,♥Q,♠K,♦7 | Pair
♥6,♥7,♥Q,♠K,♦K | Pair
♥6,♥7,♥Q,♦7,♦K | Pair
♥6,♥7,♠K,♦7,♦K | Two Pairs
♥6,♥4,♥Q,♠K,♦K | Pair
♥6,♥4,♠K,♦7,♦K | Pair
♥6,♥Q,♠K,♦7,♦K | Pair
♥7,♥4,♥Q,♠K,♦7 | Pair
♥7,♥4,♥Q,♠K,♦K | Pair
♥7,♥4,♥Q,♦7,♦K | Pair
♥7,♥4,♠K,♦7,♦K | Two Pairs
♥7,♥Q,♠K,♦7,♦K | Two Pairs
♥4,♥Q,♠K,♦7,♦K | Pair
