♣6,♠K,♦5,♣9,♥9 | Pair
♣6,♠K,♥7,♣9,♥9 | Pair
♣6,♠K,♣9,♥J,♥9 | Pair
♣6,♠K,♣9,♥9,♥3 | Pair
♣6,♠K,♣9,♥9,♣4 | Pair
♣6,♦5,♥7,♣9,♥9 | Pair
♣6,♦5,♥7,♥3,♣4 | Straight
♣6,♦5,♣9,♥J,♥9 | Pair
♣6,♦5,♣9,♥9,♥3 | Pair
♣6,♦5,♣9,♥9,♣4 | Pair
♣6,♥7,♣9,♥J,♥9 | Pair
♣6,♥7,♣9,♥9,♥3 | Pair
♣6,♥7,♣9,♥9,♣4 | Pair
♣6,♣9,♥J,♥9,♥3 | Pair
♣6,♣9,♥J,♥9,♣4 | Pair
♣6,♣9,♥9,♥3,♣4 | Pair
♠K,♦5,♥7,♣9,♥9 | Pair
♠K,♦5,♣9,♥J,♥9 | Pair
♠K,♦5,♣9,♥9,♥3 | Pair
♠K,♦5,♣9,♥9,♣4 | Pair
♠K,♥7,♣9,♥J,♥9 | Pair
♠K,♥7,♣9,♥9,♥3 | Pair
♠K,♥7,♣9,♥9,♣4 | Pair
♠K,♣9,♥J,♥9,♥3 | Pair
♠K,♣9,♥J,♥9,♣4 | Pair
♠K,♣9,♥9,♥3,♣4 | Pair
♦5,♥7,♣9,♥J,♥9 | Pair
♦5,♥7,♣9,♥9,♥3 | Pair
♦5,♥7,♣9,♥9,♣4 | Pair
♦5,♣9,♥J,♥9,♥3 | Pair
♦5,♣9,♥J,♥9,♣4 | Pair
♦5,♣9,♥9,♥3,♣4 | Pair
♥7,♣9,♥J,♥9,♥3 | Pair
♥7,♣9,♥J,♥9,♣4 | Pair
♥7,♣9,♥9,♥3,♣4 | Pair
♣9,♥J,♥9,♥3,♣4 | Pair
